title,price,brand,availability,product_url,price_off
Shintaro Hands Free Phone Mono Headset (SH-132),4.0,Shintaro,In Stock,https://www.umart.com.au/product/shintaro-hands-free-phone-mono-headset-sh-132-54551,
Logitech G733 LightSpeed Wireless RGB Gaming Headset - White,159.0,Logitech,In Stock,https://www.umart.com.au/product/logitech-g733-lightspeed-wireless-rgb-gaming-headset-white-57365,Save $40.0
Logitech G733 Lightspeed Wireless RGB Gaming Headset - Black,159.0,Logitech,In Stock,https://www.umart.com.au/product/logitech-g733-lightspeed-wireless-rgb-gaming-headset-black-57439,Save $10.0
Logitech H110 On Ear Stereo Headset,15.0,Logitech,In Stock,https://www.umart.com.au/product/logitech-h110-on-ear-stereo-headset-35903,
Logitech G733 LightSpeed Wireless RGB Gaming Headset - Lilac,159.0,Logitech,In Stock,https://www.umart.com.au/product/logitech-g733-lightspeed-wireless-rgb-gaming-headset-lilac-57366,Save $50.0
ONIKUMA K9 Pink Gaming Headset with Removable Cat Ears,25.0,ONIKUMA,In Stock,https://www.umart.com.au/product/onikuma-k9-pink-gaming-headset-with-removable-cat-ears-70676,48% Off!
"MOREJOY MJ112 True Wireless Earbuds, Bluetooth 5.3 Earbuds, IPX5 Waterproof Earphones, 2 Environmental Nosie Cancelling Microphones, 18H Play time",16.0,MoreJoy,In Stock,https://www.umart.com.au/product/morejoy-mj112-true-wireless-earbuds-bluetooth-5-3-earbuds-ipx5-waterproof-earphones-2-environmental-nosie-cancelling-microphones-18h-play-time-68947,
ONIKUMA K6 7.1 Surround Sound Gaming Headset,25.0,ONIKUMA,In Stock,https://www.umart.com.au/product/onikuma-k6-7-1-surround-sound-gaming-headset-70675,48% Off!
Logitech Clearchat Comfort USB H390 Headset,49.0,Logitech,In Stock,https://www.umart.com.au/product/logitech-clearchat-comfort-usb-h390-headset-22278,28% Off!
Razer Kraken Kitty Chroma USB Headset - Black,109.0,Razer,In Stock,https://www.umart.com.au/product/razer-kraken-kitty-chroma-usb-headset-black-52958,Save $10.0
Logitech H111 Stereo Headset,19.0,Logitech,In Stock,https://www.umart.com.au/product/logitech-h111-stereo-headset-56295,
ONIKUMA K10 PRO Gaming Headset,25.0,ONIKUMA,In Stock,https://www.umart.com.au/product/onikuma-k10-pro-gaming-headset-70678,48% Off!
ONIKUMA K9 Green Gaming Headset with Removable Cat Ears,29.0,ONIKUMA,In Stock,https://www.umart.com.au/product/onikuma-k9-green-gaming-headset-with-removable-cat-ears-70677,40% Off!
ONIKUMA B20 Gaming Headset,29.0,ONIKUMA,In Stock,https://www.umart.com.au/product/onikuma-b20-gaming-headset-70679,40% Off!
Beyerdynamic DT Circumaural Headphone Hardcase with Internal Pocket,19.0,Beyerdynamic,In Stock,https://www.umart.com.au/product/beyerdynamic-dt-circumaural-headphone-hardcase-with-internal-pocket-63764,61% Off!
Logitech H340 USB Headset,39.0,Logitech,In Stock,https://www.umart.com.au/product/logitech-h340-usb-headset-22934,20% Off!
Razer Kraken X for Console Multi-Platform Wired Gaming Headset,39.0,Razer,In Stock,https://www.umart.com.au/product/razer-kraken-x-for-console-multi-platform-wired-gaming-headset-69759,
Logitech H540 USB Headset,69.0,Logitech,In Stock,https://www.umart.com.au/product/logitech-h540-usb-headset-22951,
Shintaro Light Weight Headset w Mic,7.0,Shintaro,In Stock,https://www.umart.com.au/product/shintaro-light-weight-headset-w-mic-23143,
Logitech PRO X Gaming Headset with Blue Voice Technology,159.0,Logitech,In Stock,https://www.umart.com.au/product/logitech-pro-x-gaming-headset-with-blue-voice-technology-52064,Save $10.0
Thermaltake ISURUS Pro V2 In Ear Gaming Headset,25.0,Thermaltake,In Stock,https://www.umart.com.au/product/thermaltake-isurus-pro-v2-in-ear-gaming-headset-56913,57% Off!
Beyerdynamic EDT 770 VB Earpad Set - Black,29.0,Beyerdynamic,In Stock,https://www.umart.com.au/product/beyerdynamic-edt-770-vb-earpad-set-black-62718,
"1MORE SonoFlow Active Noise Cancelling Headphones, Bluetooth Headphones with LDAC for Hi-Res Wireless Audio, 70H Playtime, Clear Calls Black",120.0,1MORE,In Stock,https://www.umart.com.au/product/1more-sonoflow-active-noise-cancelling-headphones-bluetooth-headphones-with-ldac-for-hi-res-wireless-audio-70h-playtime-clear-calls-black-72763,
G10 Gaming Earphone Wired Stereo Bass Earphones Sport PUBG Earbuds Games Headsets With Mic For PS4 PC Laptop Phone Red,27.0,Generic,In Stock,https://www.umart.com.au/product/g10-gaming-earphone-wired-stereo-bass-earphones-sport-pubg-earbuds-games-headsets-with-mic-for-ps4-pc-laptop-phone-red-62883,
Logitech PRO Gaming Headset with Passive Noise Cancellation,119.0,Logitech,In Stock,https://www.umart.com.au/product/logitech-pro-gaming-headset-with-passive-noise-cancellation-52302,
Logitech Pro X Wireless Lightspeed Gaming Headset,288.5,Logitech,In Stock,https://www.umart.com.au/product/logitech-pro-x-wireless-lightspeed-gaming-headset-56475,
"LTC SS-502 Active Noise Cancelling Wireless Over-Ear Headphones, 2.4GHz/Bluetooth, ANC Stereo Sound Gaming Headset with Detachable Microphone",69.0,LTC,In Stock,https://www.umart.com.au/product/ltc-ss-502-active-noise-cancelling-wireless-over-ear-headphones-2-4ghz-bluetooth-anc-stereo-sound-gaming-headset-with-detachable-microphone-63806,
"1MORE ColorBuds2 Wireless Earbuds, Active Noise Cancelling, Bluetooth 5.2, cVc8.0 Noise Reduction Mic, Personalized Sound ID, 24H Play Time Black",29.9,1MORE,In Stock,https://www.umart.com.au/product/1more-colorbuds2-wireless-earbuds-active-noise-cancelling-bluetooth-5-2-cvc8-0-noise-reduction-mic-personalized-sound-id-24h-play-time-black-73813,25% Off!
Redragon H510 Zeus-X RGB White Wired Gaming Headset - 7.1 Surround Sound - 53MM Audio Drivers in Memory Foam Ear Pads,75.0,Redragon,In Stock,https://www.umart.com.au/product/redragon-h510-zeus-x-rgb-white-wired-gaming-headset-7-1-surround-sound-53mm-audio-drivers-in-memory-foam-ear-pads-62999,15% Off!
Logitech H390 USB Headset - Off White,52.0,Logitech,In Stock,https://www.umart.com.au/product/logitech-h390-usb-headset-off-white-69287,20% Off!
Beyerdynamic DT 900 PRO X Open Back Headphones 48 Ohms,329.0,Beyerdynamic,In Stock,https://www.umart.com.au/product/beyerdynamic-dt-900-pro-x-open-back-headphones-48-ohms-60847,
LB-8 TWS Wireless Bluetooth Earphone Sports Waterproof Gaming Stereo Headset With Mic Pink,22.0,,In Stock,https://www.umart.com.au/product/lb-8-tws-wireless-bluetooth-earphone-sports-waterproof-gaming-stereo-headset-with-mic-pink-62869,18% Off!
Logitech G633S 7.1 Surround Sound LightSync RGB Gaming Headset,79.0,Logitech,In Stock,https://www.umart.com.au/product/logitech-g633s-7-1-surround-sound-lightsync-rgb-gaming-headset-73445,
Logitech PRO X 2 Lightspeed Wireless Gaming Headset - White,XXX.0,Logitech,In Stock,https://www.umart.com.au/product/logitech-pro-x-2-lightspeed-wireless-gaming-headset-white-71150,Save $30.0
Beyerdynamic DT990 Pro Open Reference Studio Headphones 250 Ohm,249.0,Beyerdynamic,In Stock,https://www.umart.com.au/product/beyerdynamic-dt990-pro-open-reference-studio-headphones-250-ohm-45310,
Logitech G435 Lightweight Wireless Gaming Headset - Black,89.0,Logitech,In Stock,https://www.umart.com.au/product/logitech-g435-lightweight-wireless-gaming-headset-black-61699,Save $26.0
Logitech H151 Headset - Black,29.0,Logitech,In Stock,https://www.umart.com.au/product/logitech-h151-headset-black-44472,23% Off!
Logitech G535 LightSpeed Wireless RGB Gaming Headset Black,169.0,Logitech,In Stock,https://www.umart.com.au/product/logitech-g535-lightspeed-wireless-rgb-gaming-headset-black-65346,
"MoreJoy MJ111 White Bluetooth headphones, wireless earbuds CSC 3.0 Self Learning ENC noise isolation, crystal clear sound profile, 22 hour battery",18.9,MoreJoy,In Stock,https://www.umart.com.au/product/morejoy-mj111-white-bluetooth-headphones-wireless-earbuds-csc-3-0-self-learning-enc-noise-isolation-crystal-clear-sound-profile-22-hour-battery-68909,5% Off!
Thermaltake Gaming RIING PRO RGB 7.1 USB Gaming Headset,59.0,Thermaltake,In Stock,https://www.umart.com.au/product/thermaltake-gaming-riing-pro-rgb-7-1-usb-gaming-headset-55923,33% Off!
Beyerdynamic MMX 150 Closed USB Gaming Headset - Black,185.0,Beyerdynamic,In Stock,https://www.umart.com.au/product/beyerdynamic-mmx-150-closed-usb-gaming-headset-black-62324,
"Redragon H848 Bluetooth Wireless Gaming Headset - Lightweight - 7.1 Surround Sound - 40MM Drivers - Detachable Microphone, Blue",60.0,Redragon,In Stock,https://www.umart.com.au/product/redragon-h848-bluetooth-wireless-gaming-headset-lightweight-7-1-surround-sound-40mm-drivers-detachable-microphone-blue-70374,
Razer Kraken Multi Platform Wired Gaming Headset Quartz,69.0,Razer,In Stock,https://www.umart.com.au/product/razer-kraken-multi-platform-wired-gaming-headset-quartz-52011,30% Off! Save $30.0
Beyerdynamic DT770 Pro Closed Reference Studio Headphones 250 Ohm,249.0,Beyerdynamic,In Stock,https://www.umart.com.au/product/beyerdynamic-dt770-pro-closed-reference-studio-headphones-250-ohm-43028,
Beyerdynamic DT880 Pro Limited Edition Semi-Open Wired Professional Headphones - Black,347.0,Beyerdynamic,In Stock,https://www.umart.com.au/product/beyerdynamic-dt880-pro-limited-edition-semi-open-wired-professional-headphones-black-63763,
Shintaro Stereo Headset with Inline Mic,12.0,Shintaro,In Stock,https://www.umart.com.au/product/shintaro-stereo-headset-with-inline-mic-23146,
Beyerdynamic DT770 M Closed Reference Studio Headphones 80 Ohm,249.0,Beyerdynamic,In Stock,https://www.umart.com.au/product/beyerdynamic-dt770-m-closed-reference-studio-headphones-80-ohm-53018,
