title,price,brand,availability,product_url,price_off
Corsair 850W RM850e 80+ Gold Power Supply (CP-9020263-AU),189.0,Corsair,In Stock,https://www.umart.com.au/product/corsair-850w-rm850e-80-gold-power-supply-cp-9020263-au-71256,
Thermaltake 550W Smart BM2 80+ Bronze Power Supply (PS-SPD-0550MNFABA-1),64.0,Thermaltake,In Stock,https://www.umart.com.au/product/thermaltake-550w-smart-bm2-80-bronze-power-supply-ps-spd-0550mnfaba-1-56511,32% Off!
Corsair 850W RM850x SHIFT 80+ Gold Fully Modular ATX Power Supply (CP-9020252-AU),215.0,Corsair,In Stock,https://www.umart.com.au/product/corsair-850w-rm850x-shift-80-gold-fully-modular-atx-power-supply-cp-9020252-au-68609,Save $14.0
Corsair 850W RM850 80+ Gold Fully Modular ATX Power Supply - White (CP-9020232-AU),199.0,Corsair,In Stock,https://www.umart.com.au/product/corsair-850w-rm850-80-gold-fully-modular-atx-power-supply-white-cp-9020232-au-61397,
DeepCool 1000W 80+ Gold Power Supply (R-PXA00G-FC0B-AU),199.0,Deepcool,In Stock,https://www.umart.com.au/product/deepcool-1000w-80-gold-power-supply-r-pxa00g-fc0b-au-70268,Save $60.0
Corsair 750W RM750 80+ Gold Fully Modular ATX Power Supply - White (CP-9020231-AU),165.0,Corsair,In Stock,https://www.umart.com.au/product/corsair-750w-rm750-80-gold-fully-modular-atx-power-supply-white-cp-9020231-au-61398,
Corsair 750W RM750e 80+ Gold Power Supply (CP-9020262-AU),169.0,Corsair,In Stock,https://www.umart.com.au/product/corsair-750w-rm750e-80-gold-power-supply-cp-9020262-au-71255,
Deepcool 650W PK650D 80+ Bronze Rated ATX Power Supply - R-PK650D-FA0B-AU,99.0,Deepcool,In Stock,https://www.umart.com.au/product/deepcool-650w-pk650d-80-bronze-rated-atx-power-supply-r-pk650d-fa0b-au-74185,
SilverStone Viva 550W 80+ Bronze ATX Power Suply (SST-VA550-B),71.0,SilverStone,In Stock,https://www.umart.com.au/product/silverstone-viva-550w-80-bronze-atx-power-suply-sst-va550-b-73410,
Thermaltake 650W ToughPower 80+ Gold Power Supply (TT-PS-TPD-0650MPCGAU-1),99.0,Thermaltake,In Stock,https://www.umart.com.au/product/thermaltake-650w-toughpower-80-gold-power-supply-tt-ps-tpd-0650mpcgau-1-28303,Save $19.0
Corsair 750W RM750x 2021 80+ Gold Fully Modular ATX Power Supply,169.0,Corsair,In Stock,https://www.umart.com.au/product/corsair-750w-rm750x-2021-80-gold-fully-modular-atx-power-supply-60701,Save $20.0
Corsair 650W CV650 80+ Bronze ATX Power Supply (CP-9020236-AU),95.0,Corsair,In Stock,https://www.umart.com.au/product/corsair-650w-cv650-80-bronze-atx-power-supply-cp-9020236-au-57851,
Corsair 1000W RM1000x 2021 80+ Gold Fully Modular ATX Power Supply,289.0,Corsair,In Stock,https://www.umart.com.au/product/corsair-1000w-rm1000x-2021-80-gold-fully-modular-atx-power-supply-60697,
Gigabyte P650B 650W 80+ Bronze Power Supply,75.0,Gigabyte,In Stock,https://www.umart.com.au/product/gigabyte-p650b-650w-80-bronze-power-supply-43128,
Gamemax GX-1050 PRO White 1050W 80+Platinum Power Supply ATX3.0 PCIE5.0,199.0,GAMEMAX,In Stock,https://www.umart.com.au/product/gamemax-gx-1050-pro-white-1050w-80-platinum-power-supply-atx3-0-pcie5-0-72950,
Gamemax GX-1250 PRO BK 1250W 80+Platinum Power Supply ATX3.0 PCIE5.0,209.0,GAMEMAX,In Stock,https://www.umart.com.au/product/gamemax-gx-1250-pro-bk-1250w-80-platinum-power-supply-atx3-0-pcie5-0-72951,
Gamemax GX-750 PRO BK 750W 80+Gold Power Supply ATX3.0 PCIE5.0,159.0,GAMEMAX,In Stock,https://www.umart.com.au/product/gamemax-gx-750-pro-bk-750w-80-gold-power-supply-atx3-0-pcie5-0-72958,
Gamemax GX-850 PRO BK 850W 80+Gold Power Supply ATX3.0 PCIE5.0,159.0,GAMEMAX,In Stock,https://www.umart.com.au/product/gamemax-gx-850-pro-bk-850w-80-gold-power-supply-atx3-0-pcie5-0-72947,
Gamemax GX-1050 PRO BK 80+Platinum 1050W Power Supply ATX3.0 PCIE5.0,189.0,GAMEMAX,In Stock,https://www.umart.com.au/product/gamemax-gx-1050-pro-bk-80-platinum-1050w-power-supply-atx3-0-pcie5-0-72949,
Gamemax GX-750 PRO White 750W 80+Gold Power Supply ATX3.0 PCIE5.0,159.0,GAMEMAX,In Stock,https://www.umart.com.au/product/gamemax-gx-750-pro-white-750w-80-gold-power-supply-atx3-0-pcie5-0-72959,
Gamemax RGB 1050W 80+Gold Power Supply ATX3.0 PCIE5,179.0,GAMEMAX,In Stock,https://www.umart.com.au/product/gamemax-rgb-1050w-80-gold-power-supply-atx3-0-pcie5-72953,
MSI 750W MAG A750GL 80+ Gold PCIe 5 ATX 3.0 Modular Power Supply,145.0,MSI,In Stock,https://www.umart.com.au/product/msi-750w-mag-a750gl-80-gold-pcie-5-atx-3-0-modular-power-supply-72913,Save $14.0
Gigabyte 850W 80+ Plus Gold Fully Modular ATX Power Supply (GP-UD850GM PG5),159.0,Gigabyte,In Stock,https://www.umart.com.au/product/gigabyte-850w-80-plus-gold-fully-modular-atx-power-supply-gp-ud850gm-pg5-69668,Save $10.0
Gigabyte 850W Ultra Durable 80+ Gold Modular Power Supply (GP-UD850GM),139.0,Gigabyte,In Stock,https://www.umart.com.au/product/gigabyte-850w-ultra-durable-80-gold-modular-power-supply-gp-ud850gm-63139,
Gigabyte 1000W Ultra Durable 80+ Gold Modular Power Supply (GP-UD1000GM),223.0,Gigabyte,In Stock,https://www.umart.com.au/product/gigabyte-1000w-ultra-durable-80-gold-modular-power-supply-gp-ud1000gm-63138,
Corsair 1000W RM1000e 80+ Gold Power Supply (CP-9020264-AU),269.0,Corsair,In Stock,https://www.umart.com.au/product/corsair-1000w-rm1000e-80-gold-power-supply-cp-9020264-au-71257,
SilverStone Viva 650W 80+ Bronze ATX Power Supply (SST-VA650-B),79.0,SilverStone,In Stock,https://www.umart.com.au/product/silverstone-viva-650w-80-bronze-atx-power-supply-sst-va650-b-73411,
Gamemax RGB 1300W 80+Platinum Power Supply ATX3.0 PCIE5.0,239.0,GAMEMAX,In Stock,https://www.umart.com.au/product/gamemax-rgb-1300w-80-platinum-power-supply-atx3-0-pcie5-0-72954,
SilverStone DA850 850W 80+ Gold Power Supply (DA850-G),139.0,SilverStone,In Stock,https://www.umart.com.au/product/silverstone-da850-850w-80-gold-power-supply-da850-g-58316,
Cooler Master 750W 80+ Gold Power Supply (MPZ-7501-AFAG-BAU),199.0,Cooler Master,In Stock,https://www.umart.com.au/product/cooler-master-750w-80-gold-power-supply-mpz-7501-afag-bau-68473,
