title,price,brand,availability,product_url,price_off
ADATA 16GB (2x8GB) AX4U36008G18I-DTBKD35G XPG Spectrix D35G RGB 3600MHz DDR4 RAM,68.0,ADATA,In Stock,https://www.umart.com.au/product/adata-16gb-2x8gb-ax4u36008g18i-dtbkd35g-xpg-spectrix-d35g-rgb-3600mhz-ddr4-ram-72003,
Corsair 32GB (2x16GB) CMK32GX4M2E3200C16 Vengeance LPX 3200MHz DDR4 RAM,109.0,Corsair,In Stock,https://www.umart.com.au/product/corsair-32gb-2x16gb-cmk32gx4m2e3200c16-vengeance-lpx-3200mhz-ddr4-ram-58193,
Corsair 16GB (2x8GB) CMK16GX4M2E3200C16 Vengeance LPX 3200MHz DDR4 RAM,65.0,Corsair,In Stock,https://www.umart.com.au/product/corsair-16gb-2x8gb-cmk16gx4m2e3200c16-vengeance-lpx-3200mhz-ddr4-ram-52111,
Crucial 32GB (1x32GB) CT32G4SFD832A 3200MHz DDR4 SODIMM RAM,109.0,Crucial,In Stock,https://www.umart.com.au/product/crucial-32gb-1x32gb-ct32g4sfd832a-3200mhz-ddr4-sodimm-ram-57739,
Kingston 32GB (2x16GB) KF560C36BWEK2-32 Fury Beast 6000MT/s DIMM DDR5 RAM - White,168.0,Kingston,In Stock,https://www.umart.com.au/product/kingston-32gb-2x16gb-kf560c36bwek2-32-fury-beast-6000mt-s-dimm-ddr5-ram-white-71822,
Kingston 32GB (2x16GB) KF432C16BBAK2/32 Fury Beast RGB XMP 3200MHz DDR4 RAM,119.0,Kingston,In Stock,https://www.umart.com.au/product/kingston-32gb-2x16gb-kf432c16bbak2-32-fury-beast-rgb-xmp-3200mhz-ddr4-ram-69083,Save $6.0
Crucial 8GB (1x8GB) CT8G4SFRA32A 3200MHz DDR4 SODIMM RAM,34.0,Crucial,In Stock,https://www.umart.com.au/product/crucial-8gb-1x8gb-ct8g4sfra32a-3200mhz-ddr4-sodimm-ram-60152,
Crucial 16GB (1x16GB) CT16G4DFRA32A 3200MHz DDR4 RAM,55.0,Crucial,In Stock,https://www.umart.com.au/product/crucial-16gb-1x16gb-ct16g4dfra32a-3200mhz-ddr4-ram-57815,
Corsair 16GB (2x8GB)CMK16GX4M2D3600C18 Vengeance LPX 3600MHz DDR4 RAM,69.0,Corsair,In Stock,https://www.umart.com.au/product/corsair-16gb-2x8gb-cmk16gx4m2d3600c18-vengeance-lpx-3600mhz-ddr4-ram-52101,
Crucial 8GB (1x8GB) CT8G4DFRA32A 3200MHz DDR4 RAM,29.0,Crucial,In Stock,https://www.umart.com.au/product/crucial-8gb-1x8gb-ct8g4dfra32a-3200mhz-ddr4-ram-60151,
ADATA 8GB (1x8GB) AD4S32008G22-SGN 3200Hz SODIMM DDR4 RAM,29.0,ADATA,In Stock,https://www.umart.com.au/product/adata-8gb-1x8gb-ad4s32008g22-sgn-3200hz-sodimm-ddr4-ram-68413,
