title,price,brand,availability,product_url,price_off
Microsoft LifeCam HD-3000 USB 2.0 Webcam,32.0,Microsoft,In Stock,https://www.umart.com.au/product/microsoft-lifecam-hd-3000-usb-2-0-webcam-61543,17% Off!
Microsoft Lifecam HD-3000 (T4H-00004),39.0,Microsoft,In Stock,https://www.umart.com.au/product/microsoft-lifecam-hd-3000-t4h-00004-17933,
Microsoft Modern HD USB Web Cam Black,75.0,Microsoft,In Stock,https://www.umart.com.au/product/microsoft-modern-hd-usb-web-cam-black-62631,5% Off!
Logitech C270i HD Webcam,49.0,Logitech,In Stock,https://www.umart.com.au/product/logitech-c270i-hd-webcam-54567,
Microsoft L2 Lifecam Cinema,45.0,Microsoft,In Stock,https://www.umart.com.au/product/microsoft-l2-lifecam-cinema-23454,
Logitech C920e HD Pro Webcam,99.0,Logitech,In Stock,https://www.umart.com.au/product/logitech-c920e-hd-pro-webcam-54569,Save $10.0
Redragon GW800 1080P Webcam with Built-in Dual Microphone,46.0,Redragon,In Stock,https://www.umart.com.au/product/redragon-gw800-1080p-webcam-with-built-in-dual-microphone-58208,22% Off!
Logitech C505 HD USB Webcam,55.0,Logitech,In Stock,https://www.umart.com.au/product/logitech-c505-hd-usb-webcam-59579,
Logitech Webcam C930e,138.0,Logitech,In Stock,https://www.umart.com.au/product/logitech-webcam-c930e-27088,
Logitech C920e Business Webcam,119.0,Logitech,In Stock,https://www.umart.com.au/product/logitech-c920e-business-webcam-59503,
Logitech BRIO 100 1080p FHD Webcam - Graphite,59.0,Logitech,In Stock,https://www.umart.com.au/product/logitech-brio-100-1080p-fhd-webcam-graphite-73345,21% Off!
Logitech C922 HD Webcam,118.0,Logitech,In Stock,https://www.umart.com.au/product/logitech-c922-hd-webcam-37129,
Logitech HD C270 WebCam,39.0,Logitech,In Stock,https://www.umart.com.au/product/logitech-hd-c270-webcam-17500,20% Off!
Logitech Brio Ultra HD 4K Webcam,259.0,Logitech,In Stock,https://www.umart.com.au/product/logitech-brio-ultra-hd-4k-webcam-40615,Save $10.0
Microsoft PL2 LifeCam Studio Win USB Port EN/XT/ZH/HI/K,79.0,Microsoft,In Stock,https://www.umart.com.au/product/microsoft-pl2-lifecam-studio-win-usb-port-en-xt-zh-hi-k-22852,
Logitech C615 HD Webcam for Pc/Mac,89.0,Logitech,In Stock,https://www.umart.com.au/product/logitech-c615-hd-webcam-for-pc-mac-23603,
Logitech BCC950 Conference Cam,259.0,Logitech,In Stock,https://www.umart.com.au/product/logitech-bcc950-conference-cam-24440,Save $40.0
