title,price,original_price,sale_discount,product_url,image_url,stone_type,metal_type
14K White Gold 2.10ct Diamond Inside Out Hoop Earrings,"2,274.99","19,200.00",88.2,https://www.jomashop.com/lb-exclusive-14k-white-gold-2-10ct-diamond-inside-out-hoop-earrings-aer-10188-w.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/l/b/lb-exclusive-14k-white-gold-210ct-diamond-inside-out-hoop-earrings-aer10188w_2.jpg?width=350&height=350,['Diamond'],['Gold']
Asymmetrical Crystal Daisy Drop Clip-on Earrings,135.98,"1,120.00",87.9,https://www.jomashop.com/burberry-asymmetrical-crystal-daisy-drop-clip-on-earrings-4073754.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/b/u/burberry-asymmetrical-crystal-daisy-drop-clipon-earrings-4073754_2_full-bleed.jpg?width=350&height=350,['No Stone'],
White/Palladio Crystal and Doll's Head Palladium-plated Earrings,71.98,570.00,87.4,https://www.jomashop.com/burberry-white-palladio-crystal-and-dolls-head-palladium-plated-earrings-8013031.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/b/u/burberry-whitepalladio-crystal-and-dolls-head-palladiumplated-earrings-8013031_2_full-bleed.jpg?width=350&height=350,['No Stone'],
14K Yellow Gold 3.35ct Diamond Inside Out Hoop Earrings,"3,749.99","27,175.00",86.2,https://www.jomashop.com/lb-exclusive-14k-yellow-gold-3-35ct-diamond-inside-out-hoop-earrings-aer-9844-y.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/l/b/lb-exclusive-14k-yellow-gold-335ct-diamond-inside-out-hoop-earrings-aer9844y_2.jpg?width=350&height=350,['Diamond'],['Gold']
14K White Gold 1.0ct Diamond Inside Out Hoop Earrings,874.99,"6,050.00",85.5,https://www.jomashop.com/lb-exclusive-14k-white-gold-1-0ct-diamond-inside-out-hoop-earrings-aer-4633-w.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/l/b/lb-exclusive-14k-white-gold-10ct-diamond-inside-out-hoop-earrings-aer4633w_2.jpg?width=350&height=350,['Diamond'],['Gold']
14K White Gold 0.50 ct Diamond Small Hoop Earrings,644.99,"4,450.00",85.5,https://www.jomashop.com/lb-exclusive-14k-white-gold-0-50-ct-diamond-small-hoop-earrings-aer-14253w-w.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/l/b/lb-exclusive-14k-white-gold-050-ct-diamond-small-hoop-earrings-aer14253ww_2.jpg?width=350&height=350,['Diamond'],['Gold']
.50ct 14K Rose Gold Diamond Oval Hoop Earrings,644.99,"4,450.00",85.5,https://www.jomashop.com/lb-exclusive-50ct-14k-rose-gold-diamond-oval-hoop-earrings-aer-14269r-r.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/l/b/lb-exclusive-50ct-14k-rose-gold-diamond-oval-hoop-earrings-aer14269rr_2.jpg?width=350&height=350,['Diamond'],['Gold']
.50ct Small 14K Rose Gold Diamond Hoop Earrings,644.99,"4,450.00",85.5,https://www.jomashop.com/lb-exclusive-50ct-small-14k-rose-gold-diamond-hoop-earrings-aer-14253r-r.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/l/b/lb-exclusive-50ct-small-14k-rose-gold-diamond-hoop-earrings-aer14253rr_2.jpg?width=350&height=350,['Diamond'],['Gold']
14K Rose Gold 1.00 ct Diamond Hoop Earrings,"1,149.99","7,950.00",85.5,https://www.jomashop.com/lb-exclusive-14k-rose-gold-1-00-ct-diamond-hoop-earrings-aer-9840r-r.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/l/b/lb-exclusive-14k-rose-gold-100-ct-diamond-hoop-earrings-aer9840rr_2.jpg?width=350&height=350,['Diamond'],['Gold']
14K Yellow Gold 0.50 ct Diamond Hoop Earrings,645.00,"4,450.00",85.5,https://www.jomashop.com/lb-exclusive-14k-yellow-gold-0-50-ct-diamond-hoop-earrings-aer-14253y-y.html,https://cdn2.jomashop.com/media/catalog/product/cache/df24c858758eb768757877f23cd17493/l/b/lb-exclusive-14k-yellow-gold-050-ct-diamond-hoop-earrings-aer14253yy_2.jpg?width=350&height=350,['Diamond'],['Gold']
