Title,Price,Original Price,Sale Discount,Product URL,Image URL,Stone Type,Metal Type
Pesavento DNA Spring Small Hoop Earrings Sterling Silver/Rhodium-Plated,115.50,385.00,70.0,https://www.jared.com/pesavento-dna-spring-small-hoop-earrings-sterling-silverrhodiumplated/p/V-509702801,https://www.jared.com/productimages/processed/V-509702801_0_260.jpg?pristine=true,No+Stone,Sterling+Silver
Quartz Earrings 1/5 ct tw Diamonds Sterling Silver/14K Gold,240.00,799.99,70.0,https://www.jared.com/quartz-earrings-15-ct-tw-diamonds-sterling-silver14k-gold/p/V-234865501,https://www.jared.com/productimages/processed/V-234865501_0_260.jpg?pristine=true,Quartz,"Sterling+Silver, Gold"
Le Vian Natural Aquamarine Earrings 1/2 ct tw Diamonds 14K Vanilla Gold,"1,399.99","2,799.99",50.0,https://www.jared.com/le-vian-natural-aquamarine-earrings-12-ct-tw-diamonds-14k-vanilla-gold/p/V-376617700,https://www.jared.com/productimages/processed/V-376617700_0_260.jpg?pristine=true,Aquamarine,Gold
Tacori Natural Green Chalcedony Earrings Diamond Accents Sterling Silver,195.00,390.00,50.0,https://www.jared.com/tacori-natural-green-chalcedony-earrings-diamond-accents-sterling-silver/p/V-211579507,https://www.jared.com/productimages/processed/V-211579507_0_260.jpg?pristine=true,Chalcedony,Sterling+Silver
Tacori Natural Green Chalcedony Stud Earrings Diamond Accents Sterling Silver,195.00,390.00,50.0,https://www.jared.com/tacori-natural-green-chalcedony-stud-earrings-diamond-accents-sterling-silver/p/V-211579800,https://www.jared.com/productimages/processed/V-211579800_0_260.jpg?pristine=true,Chalcedony,Sterling+Silver
Closer Together Diamond Stud Earrings 1 ct tw Round 14K White Gold,999.99,"1,999.99",50.0,https://www.jared.com/closer-together-diamond-stud-earrings-1-ct-tw-round-14k-white-gold/p/V-182621906,https://www.jared.com/productimages/processed/V-182621906_0_260.jpg?pristine=true,Diamond,Gold
Diamond Hoop Earrings 1/4 ct tw Round 10K White Gold,449.99,899.99,50.0,https://www.jared.com/diamond-hoop-earrings-14-ct-tw-round-10k-white-gold/p/V-182496404,https://www.jared.com/productimages/processed/V-182496404_0_260.jpg?pristine=true,Diamond,Gold
Diamond Earrings 1-1/3 ct tw Round-cut 14K White Gold,"1,325.00","2,650.00",50.0,https://www.jared.com/diamond-earrings-113-ct-tw-roundcut-14k-white-gold/p/V-182063406,https://www.jared.com/productimages/processed/V-182063406_0_260.jpg?pristine=true,Diamond,Gold
Le Vian Diamond Earrings 1-1/8 carats tw 14K Strawberry Gold,"1,249.99","2,499.99",50.0,https://www.jared.com/le-vian-diamond-earrings-118-carats-tw-14k-strawberry-gold/p/V-182450104,https://www.jared.com/productimages/processed/V-182450104_0_260.jpg?pristine=true,Diamond,Gold
Pnina Tornai Diamond Drop Earrings 1/2 ct tw Round 14K White Gold,999.99,"1,999.99",50.0,https://www.jared.com/pnina-tornai-diamond-drop-earrings-12-ct-tw-round-14k-white-gold/p/V-220395406,https://www.jared.com/productimages/processed/V-220395406_0_260.jpg?pristine=true,Diamond,Gold
Lab-Created Diamond Earrings 2 ct tw Round 14K White Gold,"1,499.99","2,999.99",50.0,https://www.jared.com/labcreated-diamond-earrings-2-ct-tw-round-14k-white-gold/p/V-581002209,https://www.jared.com/productimages/processed/V-581002209_0_260.jpg?pristine=true,Lab-Created+Diamond,Gold
Lab-Created Diamond Earrings 3 ct tw Round 14K White Gold,"1,999.99","3,999.99",50.0,https://www.jared.com/labcreated-diamond-earrings-3-ct-tw-round-14k-white-gold/p/V-581002108,https://www.jared.com/productimages/processed/V-581002108_0_260.jpg?pristine=true,Lab-Created+Diamond,Gold
Lab-Created Emerald-Cut Diamond Box Set 1-1/2 ct tw 14K Yellow Gold,"1,320.00","2,200.00",40.0,https://www.jared.com/labcreated-emeraldcut-diamond-box-set-112-ct-tw-14k-yellow-gold/p/V-820679607,https://www.jared.com/productimages/processed/V-820679607_0_260.jpg?pristine=true,Lab-Created+Diamond,Gold
Lab-Created Emerald-Cut Diamond Box Set 3 ct tw 14K Yellow Gold,"3,600.00","6,000.00",40.0,https://www.jared.com/labcreated-emeraldcut-diamond-box-set-3-ct-tw-14k-yellow-gold/p/V-820679506,https://www.jared.com/productimages/processed/V-820679506_0_260.jpg?pristine=true,Lab-Created+Diamond,Gold
Natural Light Amethyst Drop Earrings 1/6 ct tw Diamonds 10K White Gold,455.00,650.00,30.0,https://www.jared.com/natural-light-amethyst-drop-earrings-16-ct-tw-diamonds-10k-white-gold/p/V-491464107,https://www.jared.com/productimages/processed/V-491464107_0_260.jpg?pristine=true,Amethyst,Gold
Citrine & White Topaz Earrings 10K White Gold,209.99,299.99,30.0,https://www.jared.com/citrine-white-topaz-earrings-10k-white-gold/p/V-491274902,https://www.jared.com/productimages/processed/V-491274902_0_260.jpg?pristine=true,Citrine,Gold
Diamond Stud Earrings 1 ct tw Round 14K White Gold,"1,120.00","1,600.00",30.0,https://www.jared.com/diamond-stud-earrings-1-ct-tw-round-14k-white-gold/p/V-182614709,https://www.jared.com/productimages/processed/V-182614709_0_260.jpg?pristine=true,Diamond,Gold
