title,price,original_price,sale_discount,product_url,image_url
Closer Together Diamond Stud Earrings 1 ct tw Round 14K White Gold,999.99,"1,999.99",50.0,https://www.jared.com/closer-together-diamond-stud-earrings-1-ct-tw-round-14k-white-gold/p/V-182621906,https://www.jared.com/productimages/processed/V-182621906_0_260.jpg?pristine=true
Diamond Earrings 1-1/3 ct tw Round-cut 14K White Gold,"1,325.00","2,650.00",50.0,https://www.jared.com/diamond-earrings-113-ct-tw-roundcut-14k-white-gold/p/V-182063406,https://www.jared.com/productimages/processed/V-182063406_0_260.jpg?pristine=true
Le Vian Diamond Earrings 1-1/8 carats tw 14K Strawberry Gold,"1,249.99","2,499.99",50.0,https://www.jared.com/le-vian-diamond-earrings-118-carats-tw-14k-strawberry-gold/p/V-182450104,https://www.jared.com/productimages/processed/V-182450104_0_260.jpg?pristine=true
Pnina Tornai Diamond Drop Earrings 1/2 ct tw Round 14K White Gold,999.99,"1,999.99",50.0,https://www.jared.com/pnina-tornai-diamond-drop-earrings-12-ct-tw-round-14k-white-gold/p/V-220395406,https://www.jared.com/productimages/processed/V-220395406_0_260.jpg?pristine=true
Le Vian Natural Aquamarine Earrings 1/2 ct tw Diamonds 14K Vanilla Gold,"1,399.99","2,799.99",50.0,https://www.jared.com/le-vian-natural-aquamarine-earrings-12-ct-tw-diamonds-14k-vanilla-gold/p/V-376617700,https://www.jared.com/productimages/processed/V-376617700_0_260.jpg?pristine=true
Lab-Created Diamond Earrings 3 ct tw Round 14K White Gold,"1,999.99","3,999.99",50.0,https://www.jared.com/labcreated-diamond-earrings-3-ct-tw-round-14k-white-gold/p/V-581002108,https://www.jared.com/productimages/processed/V-581002108_0_260.jpg?pristine=true
Tacori Natural Green Chalcedony Earrings Diamond Accents Sterling Silver,195.00,390.00,50.0,https://www.jared.com/tacori-natural-green-chalcedony-earrings-diamond-accents-sterling-silver/p/V-211579507,https://www.jared.com/productimages/processed/V-211579507_0_260.jpg?pristine=true
Tacori Natural Green Chalcedony Stud Earrings Diamond Accents Sterling Silver,195.00,390.00,50.0,https://www.jared.com/tacori-natural-green-chalcedony-stud-earrings-diamond-accents-sterling-silver/p/V-211579800,https://www.jared.com/productimages/processed/V-211579800_0_260.jpg?pristine=true
Natural Morganite & Natural White Topaz Paperclip Drop Earrings 10K Yellow Gold,649.99,"1,299.99",50.0,https://www.jared.com/natural-morganite-natural-white-topaz-paperclip-drop-earrings-10k-yellow-gold/p/V-234982508,https://www.jared.com/productimages/processed/V-234982508_0_260.jpg?pristine=true
Lab-Created Emerald-Cut Diamond Box Set 1-1/2 ct tw 14K Yellow Gold,"1,320.00","2,200.00",40.0,https://www.jared.com/labcreated-emeraldcut-diamond-box-set-112-ct-tw-14k-yellow-gold/p/V-820679607,https://www.jared.com/productimages/processed/V-820679607_0_260.jpg?pristine=true
