title,price,original_price,sale_discount,product_url,image_url
Signature Heart Diamond Earrings 1/3 ct tw Sterling Silver,209.99,699.99,70.0,https://www.kay.com/signature-heart-diamond-earrings-13-ct-tw-sterling-silver/p/V-182374708,https://www.kay.com/productimages/processed/V-182374708_0_260.jpg?pristine=true
Diamond Star Earrings 3/8 ct tw Round-cut Sterling Silver,239.99,799.99,70.0,https://www.kay.com/diamond-star-earrings-38-ct-tw-roundcut-sterling-silver/p/V-182444909,https://www.kay.com/productimages/processed/V-182444909_0_260.jpg?pristine=true
"Vibrant Shades Tanzanite, Amethyst & White Lab-Created Sapphire Drop Earrings Sterling Silver",74.99,249.99,70.0,https://www.kay.com/vibrant-shades-tanzanite-amethyst-white-labcreated-sapphire-drop-earrings-sterling-silver/p/V-376832705,https://www.kay.com/productimages/processed/V-376832705_0_260.jpg?pristine=true
Gems of Serenity Emerald-Cut Yellow & White Lab-Created Sapphire Halo Earrings Sterling Silver,53.99,179.99,70.0,https://www.kay.com/gems-of-serenity-emeraldcut-yellow-white-labcreated-sapphire-halo-earrings-sterling-silver/p/V-655703609,https://www.kay.com/productimages/processed/V-655703609_0_260.jpg?pristine=true
Ever Us Diamond Earrings 3/8 ct tw 14K White Gold,314.70,"1,049.00",70.0,https://www.kay.com/ever-us-diamond-earrings-38-ct-tw-14k-white-gold/p/V-596521409,https://www.kay.com/productimages/processed/V-596521409_0_260.jpg?pristine=true
Signature Heart Earrings Sterling Silver,44.99,149.99,70.0,https://www.kay.com/signature-heart-earrings-sterling-silver/p/V-508918000,https://www.kay.com/productimages/processed/V-508918000_0_260.jpg?pristine=true
Diamond Hoop Earrings 1/8 ct tw Round-cut Sterling Silver,99.99,249.99,60.0,https://www.kay.com/diamond-hoop-earrings-18-ct-tw-roundcut-sterling-silver/p/V-507577308,https://www.kay.com/productimages/processed/V-507577308_0_260.jpg?pristine=true
Diamond Heart Earrings Sterling Silver,55.99,79.99,30.0,https://www.kay.com/diamond-heart-earrings-sterling-silver/p/V-900235704,https://www.kay.com/productimages/processed/V-900235704_0_260.jpg?pristine=true
Diamond Stud Earrings 1/4 ct tw Round & Baguette-cut 10K White Gold,279.99,699.99,60.0,https://www.kay.com/diamond-stud-earrings-14-ct-tw-round-baguettecut-10k-white-gold/p/V-182806404,https://www.kay.com/productimages/processed/V-182806404_0_260.jpg?pristine=true
Diamond Hoop Earrings Sterling Silver,39.99,99.99,60.0,https://www.kay.com/diamond-hoop-earrings-sterling-silver/p/V-509950705,https://www.kay.com/productimages/processed/V-509950705_0_260.jpg?pristine=true
Diamond XO Stud Earrings 1/4 ct tw Round-cut 10K White Gold,319.99,799.99,60.0,https://www.kay.com/diamond-xo-stud-earrings-14-ct-tw-roundcut-10k-white-gold/p/V-182807002,https://www.kay.com/productimages/processed/V-182807002_0_260.jpg?pristine=true
Round-Cut Multi-Diamond Center Heart Stud Earrings 1/5 ct tw Sterling Silver,60.00,150.00,60.0,https://www.kay.com/roundcut-multidiamond-center-heart-stud-earrings-15-ct-tw-sterling-silver/p/V-533869905,https://www.kay.com/productimages/processed/V-533869905_0_260.jpg?pristine=true
Heart Earrings 1/20 ct tw Diamonds Sterling Silver & 10K Rose Gold,59.99,149.99,60.0,https://www.kay.com/heart-earrings-120-ct-tw-diamonds-sterling-silver-10k-rose-gold/p/V-182003107,https://www.kay.com/productimages/processed/V-182003107_0_260.jpg?pristine=true
Diamond Drop Earrings 1/10 ct tw Round-cut Sterling Silver,79.99,199.99,60.0,https://www.kay.com/diamond-drop-earrings-110-ct-tw-roundcut-sterling-silver/p/V-181736707,https://www.kay.com/productimages/processed/V-181736707_0_260.jpg?pristine=true
Italian Brilliance Diamond-Cut Hoop Earrings 14K Yellow Gold 20mm,299.99,749.99,60.0,https://www.kay.com/italian-brilliance-diamondcut-hoop-earrings-14k-yellow-gold-20mm/p/V-522250404,https://www.kay.com/productimages/processed/V-522250404_0_260.jpg?pristine=true
Baguette-Cut Peridot & White Lab-Created Sapphire Hoop Earrings Sterling Silver,99.99,249.99,60.0,https://www.kay.com/baguettecut-peridot-white-labcreated-sapphire-hoop-earrings-sterling-silver/p/V-377125202,https://www.kay.com/productimages/processed/V-377125202_0_260.jpg?pristine=true
Diamond Solitaire Earrings 1 ct tw Round-cut 10K White Gold (J/I3),500.00,"1,250.00",60.0,https://www.kay.com/diamond-solitaire-earrings-1-ct-tw-roundcut-10k-white-gold-ji3/p/V-200472708,https://www.kay.com/productimages/processed/V-200472708_0_260.jpg?pristine=true
Hoop Earrings 14K Yellow Gold,359.99,599.99,40.0,https://www.kay.com/hoop-earrings-14k-yellow-gold/p/V-393770805,https://www.kay.com/productimages/processed/V-393770805_0_260.jpg?pristine=true
Diamond Paperclip Two-Row Hoop Earrings 1 ct tw Round-cut 10K White Gold,"1,119.99","2,799.99",60.0,https://www.kay.com/diamond-paperclip-tworow-hoop-earrings-1-ct-tw-roundcut-10k-white-gold/p/V-182767602,https://www.kay.com/productimages/processed/V-182767602_0_260.jpg?pristine=true
Cross Dangle Earrings 14K Yellow Gold,87.99,219.99,60.0,https://www.kay.com/cross-dangle-earrings-14k-yellow-gold/p/V-393751401,https://www.kay.com/productimages/processed/V-393751401_0_260.jpg?pristine=true
Diamond-Cut Crossover J-Hoop Earrings 14K Yellow Gold,299.99,749.99,60.0,https://www.kay.com/diamondcut-crossover-jhoop-earrings-14k-yellow-gold/p/V-877467504,https://www.kay.com/productimages/processed/V-877467504_0_260.jpg?pristine=true
Diamond-Cut Sunburst Hoop Earrings 14K Yellow Gold 25mm,579.99,"1,449.99",60.0,https://www.kay.com/diamondcut-sunburst-hoop-earrings-14k-yellow-gold-25mm/p/V-581213802,https://www.kay.com/productimages/processed/V-581213802_0_260.jpg?pristine=true
Ball Stud Earrings 14K White Gold 8mm,71.99,179.99,60.0,https://www.kay.com/ball-stud-earrings-14k-white-gold-8mm/p/V-423264504,https://www.kay.com/productimages/processed/V-423264504_0_260.jpg?pristine=true
Diamond Drop Earrings 1/3 ct tw Round-cut 10K White Gold,531.60,"1,329.00",60.0,https://www.kay.com/diamond-drop-earrings-13-ct-tw-roundcut-10k-white-gold/p/V-182398608,https://www.kay.com/productimages/processed/V-182398608_0_260.jpg?pristine=true
Diamond Circle Drop Earrings 1/2 ct tw Round 10K Yellow Gold,491.60,"1,229.00",60.0,https://www.kay.com/diamond-circle-drop-earrings-12-ct-tw-round-10k-yellow-gold/p/V-182365306,https://www.kay.com/productimages/processed/V-182365306_0_260.jpg?pristine=true
Diamond Drop Earrings 1/2 ct tw Round-cut 10K Yellow Gold,399.99,999.99,60.0,https://www.kay.com/diamond-drop-earrings-12-ct-tw-roundcut-10k-yellow-gold/p/V-182738500,https://www.kay.com/productimages/processed/V-182738500_0_260.jpg?pristine=true
Diamond XO Stud Earrings 1/3 ct tw Round-cut 10K Yellow Gold,399.99,999.99,60.0,https://www.kay.com/diamond-xo-stud-earrings-13-ct-tw-roundcut-10k-yellow-gold/p/V-182807103,https://www.kay.com/productimages/processed/V-182807103_0_260.jpg?pristine=true
Three-Loop Drop Hoop Earrings 14K Yellow Gold,359.99,899.99,60.0,https://www.kay.com/threeloop-drop-hoop-earrings-14k-yellow-gold/p/V-377053804,https://www.kay.com/productimages/processed/V-377053804_0_260.jpg?pristine=true
Fanned Crossover Four-Row Hoop Earrings 14K Yellow Gold,359.99,899.99,60.0,https://www.kay.com/fanned-crossover-fourrow-hoop-earrings-14k-yellow-gold/p/V-555363706,https://www.kay.com/productimages/processed/V-555363706_0_260.jpg?pristine=true
Previously Owned Earrings 1 ct tw Diamonds 14K White Gold,719.60,"1,799.00",60.0,https://www.kay.com/previously-owned-earrings-1-ct-tw-diamonds-14k-white-gold/p/V-881405106,https://www.kay.com/productimages/processed/V-881405106_0_260.jpg?pristine=true
