Title,Price,Original Price,Sale Discount,Product URL,Image URL,Stone Type,Metal Type
Yellow Gold Diamond Front Back Earrings 1/2ctw,466.20,"1,295.00",64.0,https://www.reeds.com/yellow-gold-diamond-front-back-earrings-1-2ctw-plu20106688.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/y/e/yellow_gold_diamond_front_back_earrings_1_2ctw-1-20106688-hxad768946_1.jpg,Diamond,Yellow+Gold
Pandora Sparkling Statement Halo Necklace and Earring Gift Set,88.99,230.00,61.3,https://www.reeds.com/pandora-sparkling-statement-halo-necklace-and-earring-gift-set-plu20195012.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/p/a/pandora_sparkling_statement_halo_jewelry_necklace_and_earring_gift_set-1-20195012-hxbc2eb44f_1.jpg,Crystal,Sterling+Silver
White Gold Round Diamond Linear Drop Earrings 1ctw,"1,957.50","4,350.00",55.0,https://www.reeds.com/white-gold-round-diamond-linear-drop-earrings-1ctw-plu20026068.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/w/h/white_gold_round_diamond_linear_drop_earrings_1ctw-1-20026068-hxff67e0d6_1.jpg,Diamond,White+Gold
Round Diamond Inside Out Lattice Hoop Earrings 1 5/8ctw,"2,632.50","5,850.00",55.0,https://www.reeds.com/round-diamond-inside-out-lattice-hoop-earrings-1-5-8ctw-plu20026076.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/r/o/round_diamond_inside-out_lattice_hoop_earrings_1_nbsp_5_8ctw-1-20026076-hx4f8db36b.jpg,Diamond,White+Gold
"Kendra Scott Thomas Earrings in Amethyst, Matte Lilac",38.25,85.00,55.0,https://www.reeds.com/kendra-scott-thomas-earrings-in-amethyst-matte-lilac-plu19870922.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/k/e/kendra_scott_thomas_earrings_in_amethyst_matte_lilac-1-19870922-hx0db56aba.jpg,Glass,Brass
Kendra Scott Freida Hoop Earrings in Burnt Sienna Howlite,39.60,88.00,55.0,https://www.reeds.com/kendra-scott-freida-hoop-earrings-in-burnt-sienna-howlite-plu20106233.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/k/e/kendra_scott_freida_hoop_earrings_in_burnt_sienna_howlite-1-20106233-hxfe119e11_1_1.jpg,,Gold+Tone
"Pandora Clear Sparkling Crown Stud Earrings, Gold-Plated",36.99,75.00,50.7,https://www.reeds.com/pandora-clear-sparkling-crown-stud-earrings-gold-plated-plu20177044.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/p/a/pandora_clear_sparkling_crown_stud_earrings_gold-plated-1-20177044-hx22d541d4.jpg,Cubic+Zirconia,Gold+Plated
Pandora Pav Double Hoop Earrings,36.99,75.00,50.7,https://www.reeds.com/pandora-pav-double-hoop-earrings-plu20097804.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/p/a/pandora_pav_double_hoop_earrings-1-20097804-hx8ce8709e_2.jpg,Cubic+Zirconia,Sterling+Silver
Pandora Floating Curved Feather Stud Earrings| Rose Gold-Plated,41.99,85.00,50.6,https://www.reeds.com/pandora-floating-curved-feather-stud-earrings-rose-gold-plated-plu20326658.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/p/a/pandora_floating_curved_feather_stud_earrings_rose_gold-plated-1-20326658-hxa1b5a79d.jpg,Cubic+Zirconia,Rose+Gold+Plated
Pandora Radiant Sparkling Hearts Hoop Earrings,41.99,85.00,50.6,https://www.reeds.com/pandora-radiant-sparkling-hearts-hoop-earrings-plu20315008.html,https://www.reeds.com/media/catalog/product/cache/497a82b708ed80bbd921bd11008f2bd1/p/a/pandora_radiant_sparkling_hearts_hoop_earrings-1-20315008-hxced10768.jpg,Cubic+Zirconia,Sterling+Silver
