title,price,original_price,sale_discount,product_url,image_url
Italian Sterling Silver Fan Drop Earrings,76.24,427.87,82.2,https://www.ross-simons.com/italian-sterling-silver-fan-drop-earrings-JAEX+964869+WIR+SS.html,"https:///media.ross-simons.com/image/fetch/w_400,f_auto,q_auto/https://www.ross-simons.com/on/demandware.static/-/Sites-lbh-master/default/dw2a571410/images/jewelry-sterling-earrings/964869.jpg"
3.5-7.5mm Cultured Pearl and .15 ct. t.w. Diamond Fish Drop Earrings in Two-Tone Sterling Silver,154.03,855.75,82.0,https://www.ross-simons.com/3.5-7.5mm-cultured-pearl-and-.15-ct.-t.w.-diamond-fish-drop-earrings-in-two-tone-sterling-silver-JFEW+958549+LVB+G6.html,"https:///media.ross-simons.com/image/fetch/w_400,f_auto,q_auto/https://www.ross-simons.com/on/demandware.static/-/Sites-lbh-master/default/dw83b9a6cd/images/jewelry-pearl-earrings/958549.jpg"
Italian Green Venetian Glass and Malachite Drop Earrings in Sterling Silver,231.83,"1,011.34",77.1,https://www.ross-simons.com/italian-green-venetian-glass-and-malachite-drop-earrings-in-sterling-silver-JSEO+966844+WIR+SS.html,"https:///media.ross-simons.com/image/fetch/w_400,f_auto,q_auto/https://www.ross-simons.com/on/demandware.static/-/Sites-lbh-master/default/dw56599ea1/images/jewelry-semi-precious-earrings/966844.jpg"
5.00 ct. t.w. Multi-Gemstone Earrings in Sterling Silver,154.03,614.58,74.9,https://www.ross-simons.com/5.00-ct.-t.w.-multi-gemstone-earrings-in-sterling-silver-JSEA+954449+PST+SS.html,"https:///media.ross-simons.com/image/fetch/w_400,f_auto,q_auto/https://www.ross-simons.com/on/demandware.static/-/Sites-lbh-master/default/dw6f6b5a0a/images/jewelry-semi-precious-earrings/954449.jpg"
4.86 ct. t.w. Multi-Gemstone Drop Earrings in Sterling Silver,278.51,"1,089.13",74.4,https://www.ross-simons.com/4.86-ct.-t.w.-multi-gemstone-drop-earrings-in-sterling-silver-JSEG+934686+DRP+SS.html,"https:///media.ross-simons.com/image/fetch/w_400,f_auto,q_auto/https://www.ross-simons.com/on/demandware.static/-/Sites-lbh-master/default/dwde0e07ba/images/jewelry-semi-precious-earrings/934686.jpg"
Italian Orange Shell Cameo Earrings with Black Enamel in 18kt Gold Over Sterling,231.83,894.64,74.1,https://www.ross-simons.com/italian-orange-shell-cameo-earrings-with-black-enamel-in-18kt-gold-over-sterling-JXEX+964293+LVB+K6.html,"https:///media.ross-simons.com/image/fetch/w_400,f_auto,q_auto/https://www.ross-simons.com/on/demandware.static/-/Sites-lbh-master/default/dwc9404f30/images/jewelry-earrings/964293.jpg"
18kt Gold Over Sterling Christmas Bow Drop Earrings with Green Enamel,154.03,583.46,73.6,https://www.ross-simons.com/18kt-gold-over-sterling-christmas-bow-drop-earrings-with-green-enamel--JXEX+990363+DRP+K6.html,"https:///media.ross-simons.com/image/fetch/w_400,f_auto,q_auto/https://www.ross-simons.com/on/demandware.static/-/Sites-lbh-master/default/dwd9e02b13/images/jewelry-earrings/990363.jpg"
Italian Multi-Gem Chandelier Earrings in 24kt Gold Over Sterling,154.03,583.46,73.6,https://www.ross-simons.com/italian-multi-gem-chandelier-earrings-in-24kt-gold-over-sterling-JSE7+972585+DRP+G3.html,"https:///media.ross-simons.com/image/fetch/w_400,f_auto,q_auto/https://www.ross-simons.com/on/demandware.static/-/Sites-lbh-master/default/dw24a3140e/images/jewelry-semi-precious-earrings/972585.jpg"
.15 ct. t.w. Diamond Geometric Drop Earrings in 18kt Gold Over Sterling,154.03,583.46,73.6,https://www.ross-simons.com/.15-ct.-t.w.-diamond-geometric-drop-earrings-in-18kt-gold-over-sterling--JDE0+970099+WIR+K6.html,"https:///media.ross-simons.com/image/fetch/w_400,f_auto,q_auto/https://www.ross-simons.com/on/demandware.static/-/Sites-lbh-master/default/dwc912c68c/images/jewelry-diamond-earrings/970099.jpg"
.25 ct. t.w. Diamond Fan Drop Earrings in 18kt Gold Over Sterling,247.39,925.76,73.3,https://www.ross-simons.com/.25-ct.-t.w.-diamond-fan-drop-earrings-in-18kt-gold-over-sterling-JDE1+963885+DRP+K6.html,"https:///media.ross-simons.com/image/fetch/w_400,f_auto,q_auto/https://www.ross-simons.com/on/demandware.static/-/Sites-lbh-master/default/dwf03db84b/images/jewelry-diamond-earrings/963885.jpg"
