title,price,original_price,sale_discount,product_url,image_url
16MM Endless Hoop Earrings In Sterling Silver,49.74,331.7,85.0,https://www.superjeweler.com/16mm-endless-hoop-earrings-in-sterling-silver-56235.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic56235-1"
16MM Endless Hoop Earrings In 14 Karat Yellow Gold Over Sterling Silver,49.74,331.7,85.0,https://www.superjeweler.com/16mm-endless-hoop-earrings-in-14-karat-yellow-gold-over-sterling-silver-55111.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic55111-1"
"14K Yellow Gold Ornate Diamond Earring Jackets, Fits 3 3/4-4ct Stud Earrings",1658.57,9949.89,83.3,https://www.superjeweler.com/14k-yellow-gold-ornate-diamond-earring-jackets-fits-3-3-4-4ct-stud-earrings-12096.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic12096-1"
"14K White Gold Black Diamond Earring Jackets, Fits 3 3/4-4ct Stud Earrings",713.18,4144.82,82.8,https://www.superjeweler.com/14k-white-gold-black-diamond-earring-jackets-fits-3-3-4-4ct-stud-earrings-12100.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic12100-1"
"14K White Gold Large Black Diamond Earring Jackets, Fits 2 3/4-3ct Stud Earrings",879.04,4974.12,82.3,https://www.superjeweler.com/14k-white-gold-large-black-diamond-earring-jackets-fits-2-3-4-3ct-stud-earrings-12102.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic12102-1"
12MM Endless Hoop Earrings In Sterling Silver,38.13,215.6,82.3,https://www.superjeweler.com/12mm-endless-hoop-earrings-in-sterling-silver-56231.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic56231-1"
12MM Endless Hoop Earrings In 14 Karat Yellow Gold Over Sterling Silver,38.13,215.6,82.3,https://www.superjeweler.com/12mm-endless-hoop-earrings-in-14-karat-yellow-gold-over-sterling-silver-55110.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic55110-1"
"14K White Gold 4-Prong Black Diamond Earring Jackets, Fits 3 3/4-4ct Stud Earrings",746.35,4144.82,82.0,https://www.superjeweler.com/14k-white-gold-4-prong-black-diamond-earring-jackets-fits-3-3-4-4ct-stud-earrings-12107.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic12107-1"
"14K White Gold Large Black Diamond Earring Jackets, Fits 1/3-1/2ct Stud Earrings",746.35,4144.82,82.0,https://www.superjeweler.com/14k-white-gold-large-black-diamond-earring-jackets-fits-1-3-1-2ct-stud-earrings-12101.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic12101-1"
"14K White Gold Ornate Diamond Earring Jackets, Fits 1 3/4-2ct Stud Earrings",1492.72,8291.3,82.0,https://www.superjeweler.com/14k-white-gold-ornate-diamond-earring-jackets-fits-1-3-4-2ct-stud-earrings-12095.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic12095-1"
"14K White Gold Floral Inspired Diamond Earring Jackets, Fits 3/4-1ct Stud Earrings",912.21,4974.12,81.7,https://www.superjeweler.com/14k-white-gold-floral-inspired-diamond-earring-jackets-fits-3-4-1ct-stud-earrings-12080.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic12080-1"
14MM Endless Hoop Earrings In Sterling Silver,41.45,215.6,80.8,https://www.superjeweler.com/14mm-endless-hoop-earrings-in-sterling-silver-56233.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic56233-1"
14MM Endless Hoop Earrings In 14 Karat Yellow Gold Over Sterling Silver,41.45,215.6,80.8,https://www.superjeweler.com/14mm-endless-hoop-earrings-in-14-karat-yellow-gold-over-sterling-silver-56234.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic56234-1"
1/4ct Black Single Diamond Stud Earring in 14k White Gold,99.50,497.56,80.0,https://www.superjeweler.com/1-4ct-black-single-diamond-stud-earring-in-14k-white-gold-7547.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic7547-1"
Perfect 1 Inch Classic Hoop Earrings In Sterling Silver.  Wear These Every Day!,66.33,331.7,80.0,https://www.superjeweler.com/25mm-classic-hoop-earrings-in-sterling-silver-56245.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic56245-1"
1 1/2 Carat Diamond Stud Earrings In Martini Setting 14 Karat White Gold,1658.57,8292.94,80.0,https://www.superjeweler.com/1-1-2-carat-diamond-stud-earrings-in-martini-setting-14-karat-white-gold-16404.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic16404-1"
