Title,Price,Original Price,Sale Discount,Product URL,Image URL,Stone Type,Metal Type
16MM Endless Hoop Earrings In Sterling Silver,49.51,330.14,85.0,https://www.superjeweler.com/16mm-endless-hoop-earrings-in-sterling-silver-56235.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic56235-1",,Sterling+Silver
"14K Yellow Gold Ornate Diamond Earring Jackets, Fits 3 3/4-4ct Stud Earrings",1650.74,9902.91,83.3,https://www.superjeweler.com/14k-yellow-gold-ornate-diamond-earring-jackets-fits-3-3-4-4ct-stud-earrings-12096.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic12096-1",,Yellow+Gold
"14K White Gold Black Diamond Earring Jackets, Fits 3 3/4-4ct Stud Earrings",709.81,4125.25,82.8,https://www.superjeweler.com/14k-white-gold-black-diamond-earring-jackets-fits-3-3-4-4ct-stud-earrings-12100.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic12100-1",,White+Gold
"14K White Gold Large Black Diamond Earring Jackets, Fits 2 3/4-3ct Stud Earrings",874.89,4950.63,82.3,https://www.superjeweler.com/14k-white-gold-large-black-diamond-earring-jackets-fits-2-3-4-3ct-stud-earrings-12102.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic12102-1",,White+Gold
12MM Endless Hoop Earrings In Sterling Silver,37.95,214.58,82.3,https://www.superjeweler.com/12mm-endless-hoop-earrings-in-sterling-silver-56231.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic56231-1",,Sterling+Silver
"14K White Gold 4-Prong Black Diamond Earring Jackets, Fits 3 3/4-4ct Stud Earrings",742.83,4125.25,82.0,https://www.superjeweler.com/14k-white-gold-4-prong-black-diamond-earring-jackets-fits-3-3-4-4ct-stud-earrings-12107.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic12107-1",,White+Gold
"14K White Gold Large Black Diamond Earring Jackets, Fits 1/3-1/2ct Stud Earrings",742.83,4125.25,82.0,https://www.superjeweler.com/14k-white-gold-large-black-diamond-earring-jackets-fits-1-3-1-2ct-stud-earrings-12101.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic12101-1",,White+Gold
"14K White Gold Ornate Diamond Earring Jackets, Fits 1 3/4-2ct Stud Earrings",1485.67,8252.15,82.0,https://www.superjeweler.com/14k-white-gold-ornate-diamond-earring-jackets-fits-1-3-4-2ct-stud-earrings-12095.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic12095-1",,White+Gold
"14K White Gold Floral Inspired Diamond Earring Jackets, Fits 3/4-1ct Stud Earrings",907.90,4950.63,81.7,https://www.superjeweler.com/14k-white-gold-floral-inspired-diamond-earring-jackets-fits-3-4-1ct-stud-earrings-12080.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic12080-1",,White+Gold
14MM Endless Hoop Earrings In Sterling Silver,41.25,214.58,80.8,https://www.superjeweler.com/14mm-endless-hoop-earrings-in-sterling-silver-56233.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic56233-1",,Sterling+Silver
1 Carat Round Shape Amethyst Stud Earrings In 14K Rose Gold Over Sterling Silver,33.00,165.06,80.0,https://www.superjeweler.com/1-carat-round-shape-amethyst-stud-earrings-in-14k-rose-gold-over-sterling-silver-43851.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic43851-1",Amethyst,
1 Carat Round Shape Amethyst Stud Earrings In 14K Yellow Gold Over Sterling Silver,33.00,165.06,80.0,https://www.superjeweler.com/1-carat-round-shape-amethyst-stud-earrings-in-14k-yellow-gold-over-sterling-silver-43840.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic43840-1",Amethyst,
1 Carat Round Shape Amethyst Stud Earrings In Sterling Silver,33.00,165.06,80.0,https://www.superjeweler.com/1-carat-round-shape-amethyst-stud-earrings-in-sterling-silver-43829.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic43829-1",Amethyst,Sterling+Silver
1 3/4 Carat Round Shape Blue Topaz Stud Earrings In 14K Rose Gold Over Sterling Silver,33.00,165.06,80.0,https://www.superjeweler.com/1-3-4-carat-round-shape-blue-topaz-stud-earrings-in-14k-rose-gold-over-sterling-silver-43854.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic43854-1",Blue+Topaz,
1 3/4 Carat Round Shape Blue Topaz Stud Earrings In 14K Yellow Gold Over Sterling Silver,33.00,165.06,80.0,https://www.superjeweler.com/1-3-4-carat-round-shape-blue-topaz-stud-earrings-in-14k-yellow-gold-over-sterling-silver-43843.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic43843-1",Blue+Topaz,
1 3/4 Carat Round Shape Blue Topaz Stud Earrings In Sterling Silver,33.00,165.06,80.0,https://www.superjeweler.com/1-3-4-carat-round-shape-blue-topaz-stud-earrings-in-sterling-silver-43832.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic43832-1",Blue+Topaz,Sterling+Silver
1/2 Carat Round Shape Blue Topaz Stud Earrings In 14K Yellow Gold Over Sterling Silver,33.00,165.06,80.0,https://www.superjeweler.com/1-2-carat-round-shape-blue-topaz-stud-earrings-in-14k-yellow-gold-over-sterling-silver-43812.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic43812-1",Blue+Topaz,
1 Carat Round Shape Citrine Stud Earrings In 14K Rose Gold Over Sterling Silver,33.00,165.06,80.0,https://www.superjeweler.com/1-carat-round-shape-citrine-stud-earrings-in-14k-rose-gold-over-sterling-silver-43852.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic43852-1",Citrine,
1 Carat Round Shape Citrine Stud Earrings In 14K Yellow Gold Over Sterling Silver,33.00,165.06,80.0,https://www.superjeweler.com/1-carat-round-shape-citrine-stud-earrings-in-14k-yellow-gold-over-sterling-silver-43841.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic43841-1",Citrine,
1 Carat Round Shape Citrine Stud Earrings In Sterling Silver,33.00,165.06,80.0,https://www.superjeweler.com/1-carat-round-shape-citrine-stud-earrings-in-sterling-silver-43830.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic43830-1",Citrine,Sterling+Silver
1/2 Carat Round Shape Citrine Stud Earrings In 14K Yellow Gold Over Sterling Silver,33.00,165.06,80.0,https://www.superjeweler.com/1-2-carat-round-shape-citrine-stud-earrings-in-14k-yellow-gold-over-sterling-silver-43810.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic43810-1",Citrine,
1 1/3ct Citrine Stud Earrings in Sterling Silver,49.51,247.6,80.0,https://www.superjeweler.com/1-1-3ct-citrine-stud-earrings-in-sterling-silver-12370.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic12370-1",Citrine,Sterling+Silver
1 1/2 Carat Round Shape Garnet Stud Earrings In 14K Rose Gold Over Sterling Silver,33.00,165.06,80.0,https://www.superjeweler.com/garnet-earrings-1-1-2-carat-round-shape-garnet-stud-earrings-in-14k-rose-gold-over-sterling-silver-43859.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic43859-1",Garnet,
1 1/2 Carat Round Shape Garnet Stud Earrings In 14K Yellow Gold Over Sterling Silver,33.00,165.06,80.0,https://www.superjeweler.com/garnet-earrings-1-1-2-carat-round-shape-garnet-stud-earrings-in-14k-yellow-gold-over-sterling-silver-43848.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic43848-1",Garnet,
1 1/2 Carat Round Shape Garnet Stud Earrings In Sterling Silver,33.00,165.06,80.0,https://www.superjeweler.com/garnet-earrings-1-1-2-carat-round-shape-garnet-stud-earrings-in-sterling-silver-43837.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic43837-1",Garnet,Sterling+Silver
1/2 Carat Round Shape Garnet Stud Earrings In 14K Yellow Gold Over Sterling Silver,33.00,165.06,80.0,https://www.superjeweler.com/garnet-earrings-1-2-carat-round-shape-garnet-stud-earrings-in-14k-yellow-gold-over-sterling-silver-43816.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic43816-1",Garnet,
1 Carat Round Shape Green Amethyst Stud Earrings In 14K Rose Gold Over Sterling Silver,33.00,165.06,80.0,https://www.superjeweler.com/1-carat-round-shape-green-amethyst-stud-earrings-in-14k-rose-gold-over-sterling-silver-43860.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic43860-1",Green+Amethyst,
1 Carat Round Shape Green Amethyst Stud Earrings In 14K Yellow Gold Over Sterling Silver,33.00,165.06,80.0,https://www.superjeweler.com/1-carat-round-shape-green-amethyst-stud-earrings-in-14k-yellow-gold-over-sterling-silver-43849.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic43849-1",Green+Amethyst,
1 Carat Round Shape Green Amethyst Stud Earrings In Sterling Silver,33.00,165.06,80.0,https://www.superjeweler.com/1-carat-round-shape-green-amethyst-stud-earrings-in-sterling-silver-43838.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic43838-1",Green+Amethyst,Sterling+Silver
1/2 Carat Round Shape Green Amethyst Stud Earrings In 14K Yellow Gold Over Sterling Silver,33.00,165.06,80.0,https://www.superjeweler.com/1-2-carat-round-shape-green-amethyst-stud-earrings-in-14k-yellow-gold-over-sterling-silver-43817.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic43817-1",Green+Amethyst,
1 3/4 Carat Round Shape Mystic Topaz Stud Earrings In 14K Rose Gold Over Sterling Silver,33.00,165.06,80.0,https://www.superjeweler.com/1-3-4-carat-round-shape-mystic-topaz-stud-earrings-in-14k-rose-gold-over-sterling-silver-43855.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic43855-1",Mystic+Topaz,
1 3/4 Carat Round Shape Mystic Topaz Stud Earrings In 14K Yellow Gold Over Sterling Silver,33.00,165.06,80.0,https://www.superjeweler.com/1-3-4-carat-round-shape-mystic-topaz-stud-earrings-in-14k-yellow-gold-over-sterling-silver-43844.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic43844-1",Mystic+Topaz,
1 3/4 Carat Round Shape Mystic Topaz Stud Earrings In Sterling Silver,33.00,165.06,80.0,https://www.superjeweler.com/1-3-4-carat-round-shape-mystic-topaz-stud-earrings-in-sterling-silver-43833.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic43833-1",Mystic+Topaz,Sterling+Silver
1/2 Carat Round Shape Mystic Topaz Stud Earrings In 14K Yellow Gold Over Sterling Silver,33.00,165.06,80.0,https://www.superjeweler.com/1-2-carat-round-shape-mystic-topaz-stud-earrings-in-14k-yellow-gold-over-sterling-silver-43813.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic43813-1",Mystic+Topaz,
1 1/3 Carat Round Shape Peridot Stud Earrings In 14K Rose Gold Over Sterling Silver,33.00,165.06,80.0,https://www.superjeweler.com/1-1-3-carat-round-shape-peridot-stud-earrings-in-14k-rose-gold-over-sterling-silver-43853.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic43853-1",Peridot,
1 1/3 Carat Round Shape Peridot Stud Earrings In 14K Yellow Gold Over Sterling Silver,33.00,165.06,80.0,https://www.superjeweler.com/1-1-3-carat-round-shape-peridot-stud-earrings-in-14k-yellow-gold-over-sterling-silver-43842.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic43842-1",Peridot,
1 1/3 Carat Round Shape Peridot Stud Earrings In Sterling Silver,33.00,165.06,80.0,https://www.superjeweler.com/1-1-3-carat-round-shape-peridot-stud-earrings-in-sterling-silver-43831.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic43831-1",Peridot,Sterling+Silver
1/2 Carat Round Shape Peridot Stud Earrings In 14K Yellow Gold Over Sterling Silver,33.00,165.06,80.0,https://www.superjeweler.com/1-2-carat-round-shape-peridot-stud-earrings-in-14k-yellow-gold-over-sterling-silver-43811.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic43811-1",Peridot,
1/4ct Black Single Diamond Stud Earring in 14k White Gold,99.03,495.21,80.0,https://www.superjeweler.com/1-4ct-black-single-diamond-stud-earring-in-14k-white-gold-7547.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic7547-1",,White+Gold
1 1/2 Carat Diamond Stud Earrings In 14 Karat Yellow Gold,1650.74,8253.79,80.0,https://www.superjeweler.com/1-1-2-carat-diamond-stud-earrings-in-14-karat-yellow-gold-22756.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic22756-1",,"White+Gold, Yellow+Gold"
"14K White Gold Classic Black Diamond Earring Jackets, Fits 1 1/2-2ct Stud Earrings",330.14,1650.74,80.0,https://www.superjeweler.com/14k-white-gold-classic-black-diamond-earring-jackets-fits-1-1-2-2ct-stud-earrings-12847.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic12847-1",,White+Gold
1 1/2 Carat Natural Genuine Diamond Stud Earrings In Martini Setting 14 Karat Yellow Gold,1650.74,8253.79,80.0,https://www.superjeweler.com/1-1-2-carat-natural-genuine-diamond-stud-earrings-in-martini-setting-14-karat-yellow-gold-16405.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic16405-1",,Yellow+Gold
1/2 Carat Diamond Stud Earrings In Platinum,825.36,4126.88,80.0,https://www.superjeweler.com/1-2-carat-diamond-stud-earrings-in-platinum-1084.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic1084-1",,Platinum
Perfect 1 Inch Classic Hoop Earrings In Sterling Silver.  Wear These Every Day!,66.01,330.14,80.0,https://www.superjeweler.com/25mm-classic-hoop-earrings-in-sterling-silver-56245.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic56245-1",,Sterling+Silver
20MM Endless Hoop Earrings In Sterling Silver,66.01,330.14,80.0,https://www.superjeweler.com/20mm-endless-hoop-earrings-in-sterling-silver-56232.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic56232-1",,Sterling+Silver
5 Point Emerald Stud Earrings In Sterling Silver.  So Cute!,62.71,297.12,78.9,https://www.superjeweler.com/5-point-emerald-stud-earrings-in-sterling-silver-49159.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic49159-1",Emerald,Sterling+Silver
5 Point Ruby Stud Earrings In Sterling Silver. So Cute!,62.71,297.12,78.9,https://www.superjeweler.com/5-point-ruby-stud-earrings-in-sterling-silver-49160.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic49160-1",Ruby,Sterling+Silver
5 Point Sapphire Stud Earrings In Sterling Silver. So Cute!,62.71,297.12,78.9,https://www.superjeweler.com/5-point-sapphire-stud-earrings-in-sterling-silver-49161.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic49161-1",Sapphire,Sterling+Silver
5 Point Diamond and Gemstone Stud Earrings In Sterling Silver,62.71,297.12,78.9,https://www.superjeweler.com/5-point-diamond-and-gemstone-stud-earrings-in-sterling-silver-63566.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic63566-1",,Sterling+Silver
"14K White Gold Classic Diamond Earring Jackets, Fits 1 1/2-2ct Stud Earrings",544.73,2476.12,78.0,https://www.superjeweler.com/14k-white-gold-classic-diamond-earring-jackets-fits-1-1-2-2ct-stud-earrings-12846.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic12846-1",,White+Gold
"14K White Gold Large Black Diamond Earring Jackets, Fits 3 3/4-4ct Stud Earrings",1205.04,5445.86,77.9,https://www.superjeweler.com/14k-white-gold-large-black-diamond-earring-jackets-fits-3-3-4-4ct-stud-earrings-12103.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic12103-1",,White+Gold
14K White Gold Chandelier Diamond Earring Jackets,297.12,1320.59,77.5,https://www.superjeweler.com/14k-white-gold-chandelier-diamond-earring-jackets-12850.html,"https://media.superjeweler.com/f_auto,fl_lossy,q_auto,h_284,w_284/Images/Products/700X700/pic12850-1",,White+Gold
