Title,Url
Residents-only parking in exclusive beachside suburb ruled illegal,https://www.9news.com.au/national/watsons-bay-residents-only-parking-in-exclusive-beachside-suburb-ruled-illegal/5f12b995-4e6e-406f-b12e-b1d8d81acebf
Samurai sword-attacking real estate agent spared more jail time,https://www.9news.com.au/national/karl-adon-howard-sydney-court-sentencing-samurai-sword-attack/8a71dab4-c50b-4dcd-ae3c-7056473ad472
Incredible image captures lightning strike as wild storm sweeps town,https://www.9news.com.au/national/weather-australia-2023-wild-weather-extremes-in-pictures-floods-storms-bushfires-snow/751a8a0c-529c-4b2a-9942-9ec15a58969b
Teen 'stabbed up to 30 times' on Sydney bus,https://www.9news.com.au/national/ingleburn-stabbing-man-charged-after-alleged-stabbing-on-sydney-bus/0de28cfe-bd8e-4d1d-b6e3-4bae1492d0c7
Woman taken to hospital after fall at Robbie Williams concert,https://www.9news.com.au/national/robbie-williams-sydney-concert-woman-in-hospital-after-fall/2e13c858-a981-4e5e-bc38-8255ee51f4c1
"Lilie 'lived each day to the fullest', says father in emotional tribute",https://www.9news.com.au/national/lilie-james-update-funeral-friends-family-murder-sydney-st-andrews-cathedral-school/f681b6c3-6a24-4a4b-bce1-47185835e279
"'Heroic, inspiring' NSW firefighter killed by falling tree named",https://www.9news.com.au/national/nsw-rfs-firefighter-dies-at-hudson-fire-near-walgett/bd2269fe-67c8-44eb-85a7-7aa393721736
Sydney swim coach jailed for 32 years over child sexual abuse,https://www.9news.com.au/national/paul-douglas-frost-sentencing-guilty-grooming-sexually-abusing-swim-students-sydney/ffc48a2a-fa2c-458b-b870-548c75c41188
Fifty building projects axed as minister blames 'economic vandalism',https://www.9news.com.au/national/federal-politics-infrastructure-projects-axed-independent-review-minister-catherine-king/bed768bf-ca24-4704-bdd4-d5b7229ae558
"Search for NSW scooter rider who allegedly crashed into girl, breaking her leg",https://www.9news.com.au/national/cardiff-nsw-toddlers-leg-broken-after-electric-scooter-crash/62d35e4e-bc50-446a-82d6-7867531c8723
"Sydney's first mattress recycling initiative to save council $500,000",https://www.9news.com.au/national/southwestern-sydney-council-first-to-recycle-mattresses-saving-hundreds-of-thousands-in-costs/10c67a4f-54ed-4398-8e00-17121df10bee
Identity of high-ranking NSW cop charged with drink-driving to remain secret,https://www.9news.com.au/national/nsw-police-inspector-drink-driving-charge-court-name-suppression/01428045-a104-474f-bfab-765f3bd37e39
"NSW to scrap emergency services levy, saving families on home insurance",https://www.9news.com.au/national/emergency-services-levy-reform-to-take-pressure-off-homeowners/9d05f64d-b239-41b9-b89d-1afc4c7584d9
Man charged after servo fight 'sparked by Israel-Palestine tensions',https://www.9news.com.au/national/bondi-news-verbal-altercation-toyota-corolla-hatchback-mercedes-sedan/87d86969-99c9-4343-b5ea-dcad0372e403
Prostate cancer drug made affordable as hotspots for late diagnoses revealed,https://www.9news.com.au/national/new-drug-for-prostate-cancer-treatment-added-to-pbs-as-diagnosis-hotspots-revealed/30e0323a-3135-406d-909f-5bc93f8c6ec9
Outrage over 'giant electric charger' blocking local shops,https://www.9news.com.au/national/mona-vale-locals-outraged-over-giant-electric-charger-blocking-businesses-on-sydneys-northern-beaches/2f8e3179-7a6b-44f0-977e-52597c0cda59
