title,price,brand,availability,product_url,price_off
Corsair 4000D Airflow TG Mid Tower ATX Case - Black,149.0,Corsair,In Stock,https://www.umart.com.au/product/corsair-4000d-airflow-tg-mid-tower-atx-case-black-56787,Save $6.0
AZZA Elise Mid Tower mATX Case Black (CSAZ-140M),52.0,AZZA,In Stock,https://www.umart.com.au/product/azza-elise-mid-tower-matx-case-black-csaz-140m-67691,11% Off!
Thermaltake Versa H15 Micro Tower Case USB 3.0 with 450W PSU,89.0,Thermaltake,In Stock,https://www.umart.com.au/product/thermaltake-versa-h15-micro-tower-case-usb-3-0-with-450w-psu-30785,10% Off! Save $10.0
AZZA Noir 130M Micro ATX Case Black (CSAZ-130M),47.0,AZZA,In Stock,https://www.umart.com.au/product/azza-noir-130m-micro-atx-case-black-csaz-130m-67690,
Thermaltake Black Versa 21 Mid Tower Chassis & 500w PSU (USB3),95.0,Thermaltake,In Stock,https://www.umart.com.au/product/thermaltake-black-versa-21-mid-tower-chassis-500w-psu-usb3-26943,4% Off! Save $4.0
Thermaltake Black Versa H25 Mid Tower Chassis NO PSU (USB3),61.0,Thermaltake,In Stock,https://www.umart.com.au/product/thermaltake-black-versa-h25-mid-tower-chassis-no-psu-usb3-28768,6% Off!
Thermaltake Black Versa H24 Mid Tower Chassis NO PSU (USB3),62.0,Thermaltake,In Stock,https://www.umart.com.au/product/thermaltake-black-versa-h24-mid-tower-chassis-no-psu-usb3-28767,4% Off!
AZZA Hive Mid Tower ATX Case Black (CSAZ-450M),75.0,AZZA,In Stock,https://www.umart.com.au/product/azza-hive-mid-tower-atx-case-black-csaz-450m-67695,
AZZA Octane 460A Mid Tower ATX Case Black,69.0,AZZA,In Stock,https://www.umart.com.au/product/azza-octane-460a-mid-tower-atx-case-black-59893,12% Off!
Azza Spectra 280W Mid Tower Tempered Glass ATX Case - White,59.0,AZZA,In Stock,https://www.umart.com.au/product/azza-spectra-280w-mid-tower-tempered-glass-atx-case-white-64691,
Azza Spectra 280B Mid Tower Tempered Glass ATX Case - Black,59.0,AZZA,In Stock,https://www.umart.com.au/product/azza-spectra-280b-mid-tower-tempered-glass-atx-case-black-64690,
Thermaltake Black Versa 22 Mid Tower Chassis & 500w PSU (USB3),104.0,Thermaltake,In Stock,https://www.umart.com.au/product/thermaltake-black-versa-22-mid-tower-chassis-500w-psu-usb3-26944,
Gamemax  Mesh BOX PRO ATX White  No fan,89.0,GAMEMAX,In Stock,https://www.umart.com.au/product/gamemax-mesh-box-pro-atx-white-no-fan-72945,
Gamemax Diamond COC WT ATX Mid-Tower  Black Chassis 1x ARGB fan 1x 14CM Turbo COC fan,69.0,GAMEMAX,In Stock,https://www.umart.com.au/product/gamemax-diamond-coc-wt-atx-mid-tower-black-chassis-1x-argb-fan-1x-14cm-turbo-coc-fan-72943,
Gamemax SPARK Computer case MATX - White,68.0,GAMEMAX,In Stock,https://www.umart.com.au/product/gamemax-spark-computer-case-matx-white-72937,
Gamemax Diamond COC Black ATX Mid-Tower  Black Chassis 1x ARGB fan 1x 14CM Turbo COC fan,67.0,GAMEMAX,In Stock,https://www.umart.com.au/product/gamemax-diamond-coc-black-atx-mid-tower-black-chassis-1x-argb-fan-1x-14cm-turbo-coc-fan-72942,
Thermaltake S100 Tempered Glass Micro ATX Case - Black,77.0,Thermaltake,In Stock,https://www.umart.com.au/product/thermaltake-s100-tempered-glass-micro-atx-case-black-55057,
Gamemax SPARK Computer case MATX - Black,68.0,GAMEMAX,In Stock,https://www.umart.com.au/product/gamemax-spark-computer-case-matx-black-72936,
AZZA Prime 360E Mid Tower ATX Case,69.0,AZZA,In Stock,https://www.umart.com.au/product/azza-prime-360e-mid-tower-atx-case-74076,
Gamemax Vista AB ATX Mid-Tower Black 6x ARGB fan,139.0,GAMEMAX,In Stock,https://www.umart.com.au/product/gamemax-vista-ab-atx-mid-tower-black-6x-argb-fan-72940,
NZXT Hue 2 Underglow 300mm RGB LED Strips 2 Pack Kit,9.0,NZXT,In Stock,https://www.umart.com.au/product/nzxt-hue-2-underglow-300mm-rgb-led-strips-2-pack-kit-50931,40% Off!
Gamemax Vista AW ATX Mid-Tower Black 6x ARGB fan,139.0,GAMEMAX,In Stock,https://www.umart.com.au/product/gamemax-vista-aw-atx-mid-tower-black-6x-argb-fan-72941,
Cooler Master MasterBox 520 RGB TG Mid Tower E-ATX Case Black,109.0,Cooler Master,In Stock,https://www.umart.com.au/product/cooler-master-masterbox-520-rgb-tg-mid-tower-e-atx-case-black-64852,Save $10.0
Lian Li PC-O11 Dynamic Evo TG Mid Tower E-ATX Case - Black,259.0,Lian Li,In Stock,https://www.umart.com.au/product/lian-li-pc-o11-dynamic-evo-tg-mid-tower-e-atx-case-black-61968,
Corsair iCUE 4000D RGB Airflow TG Mid-Tower ATX Case - Black,219.0,Corsair,In Stock,https://www.umart.com.au/product/corsair-icue-4000d-rgb-airflow-tg-mid-tower-atx-case-black-69889,
AZZA Xander 150 Mid Tower mATX Case,62.0,AZZA,In Stock,https://www.umart.com.au/product/azza-xander-150-mid-tower-matx-case-74075,
Laser Security PC KeyLock,4.0,Laser,In Stock,https://www.umart.com.au/product/laser-security-pc-keylock-21965,
Antec VSK-3000B-U3 mATX Case - Black,48.0,Antec,In Stock,https://www.umart.com.au/product/antec-vsk-3000b-u3-matx-case-black-29073,
Corsair 4000D Airflow TG Mid Tower ATX Case - White,149.0,Corsair,In Stock,https://www.umart.com.au/product/corsair-4000d-airflow-tg-mid-tower-atx-case-white-56786,Save $6.0
be quiet! Silent Base 802 ATX Case Window - Black,209.0,Be Quiet,In Stock,https://www.umart.com.au/product/be-quiet-silent-base-802-atx-case-window-black-60903,Save $30.0
CoolerMaster MasterBox MB400L with NEX 500W 230V PSU mATX Case,99.0,Cooler Master,In Stock,https://www.umart.com.au/product/coolermaster-masterbox-mb400l-with-nex-500w-230v-psu-matx-case-69861,
