title,price,brand,availability,product_url,price_off
Lenovo 27in FHD 75Hz FreeSync VA Monitor (63DDKAR6AU),129.0,Lenovo,In Stock,https://www.umart.com.au/product/lenovo-27in-fhd-75hz-freesync-va-monitor-63ddkar6au-71320,Save $26.0
MSI Pro 23.8in FHD IPS 100Hz SPK Eye Care Business Monitor (PRO MP243X),179.0,MSI,In Stock,https://www.umart.com.au/product/msi-pro-23-8in-fhd-ips-100hz-spk-eye-care-business-monitor-pro-mp243x-71496,
MSI 23.8in FHD VA 100Hz Adaptive Sync Monitor (PRO MP2412),129.0,MSI,In Stock,https://www.umart.com.au/product/msi-23-8in-fhd-va-100hz-adaptive-sync-monitor-pro-mp2412-73616,
AOC 23.8in FHD 100Hz IPS Frameless Monitor (24B1XH2),109.0,AOC,In Stock,https://www.umart.com.au/product/aoc-23-8in-fhd-100hz-ips-frameless-monitor-24b1xh2-71715,Save $40.0
MSI 27in FHD IPS 100Hz Adaptive-Sync Business Monitor (PRO MP273A),239.0,MSI,In Stock,https://www.umart.com.au/product/msi-27in-fhd-ips-100hz-adaptive-sync-business-monitor-pro-mp273a-73342,
AOC 34in QHD Ultra Wide VA 144Hz Freesync Premium Gaming Monitor (U34G3XM/EU),399.0,AOC,In Stock,https://www.umart.com.au/product/aoc-34in-qhd-ultra-wide-va-144hz-freesync-premium-gaming-monitor-u34g3xm-eu-72584,Save $80.0
AOC 27in FHD 100Hz IPS Monitor (27B1H2),145.0,AOC,In Stock,https://www.umart.com.au/product/aoc-27in-fhd-100hz-ips-monitor-27b1h2-71769,Save $10.0
MSI Pro 23.8in FHD 100Hz IPS Business Monitor (PRO MP242A),199.0,MSI,In Stock,https://www.umart.com.au/product/msi-pro-23-8in-fhd-100hz-ips-business-monitor-pro-mp242a-71530,
Phillips 27in FHD 100Hz IPS LED Adaptive-Sync Monitor (271V8B),144.0,Philips,In Stock,https://www.umart.com.au/product/phillips-27in-fhd-100hz-ips-led-adaptive-sync-monitor-271v8b-72416,Save $1.0
MSI 27in FHD 170Hz IPS Gaming Monitor (G2712),209.0,MSI,In Stock,https://www.umart.com.au/product/msi-27in-fhd-170hz-ips-gaming-monitor-g2712-65642,Save $60.0
AOC 27in QHD 165Hz IPS Gaming Monitor (Q27G2S/EU),368.0,AOC,In Stock,https://www.umart.com.au/product/aoc-27in-qhd-165hz-ips-gaming-monitor-q27g2s-eu-72103,
Samsung 24in FHD 75Hz FreeSync Monitor (LS24R350FZEXXY),149.0,Samsung,In Stock,https://www.umart.com.au/product/samsung-24in-fhd-75hz-freesync-monitor-ls24r350fzexxy-61196,
"Loctek Pro Mount, 10""-30"" Single Gas Spring Monitor Stand - Black - Ergonomic 360deg Swivel Arm - Max Load 5kg Per Arm - VESA 75 & 100mm",59.0,LOCTEK,In Stock,https://www.umart.com.au/product/loctek-pro-mount-10-30-single-gas-spring-monitor-stand-black-ergonomic-360deg-swivel-arm-max-load-5kg-per-arm-vesa-75-100mm-71002,14% Off!
"Loctek 17""-30"" Dual Ergonomic Gaming Gas Spring Monitor Stand - Black - VESA 75 & 100mm - Max Load 9kg - Dual USB 3.0 port",99.0,LOCTEK,In Stock,https://www.umart.com.au/product/loctek-17-30-dual-ergonomic-gaming-gas-spring-monitor-stand-black-vesa-75-100mm-max-load-9kg-dual-usb-3-0-port-71011,Save $30.0
"Loctek 17""-30"" Single Ergonomic Gaming Gas Spring Monitor Stand - Black - VESA 75 & 100mm - Max Load 9kg - Dual USB 3.0 port",69.0,LOCTEK,In Stock,https://www.umart.com.au/product/loctek-17-30-single-ergonomic-gaming-gas-spring-monitor-stand-black-vesa-75-100mm-max-load-9kg-dual-usb-3-0-port-71009,22% Off!
Philips 27in FHD 75Hz VA Monitor (271V8LA),139.0,Philips,In Stock,https://www.umart.com.au/product/philips-27in-fhd-75hz-va-monitor-271v8la-63156,Save $10.0
"Loctek 17""-30"" Single Ergonomic Gas Spring Monitor Stand - Black - VESA 75 & 100mm - Max Load 9kg - Dual USB 3.0 port without connect cable",59.0,LOCTEK,In Stock,https://www.umart.com.au/product/loctek-17-30-single-ergonomic-gas-spring-monitor-stand-black-vesa-75-100mm-max-load-9kg-dual-usb-3-0-port-without-connect-cable-71015,14% Off!
AOC 27in FHD IPS 165Hz Adaptive Sync Gaming Monitor (27G2SP),289.0,AOC,In Stock,https://www.umart.com.au/product/aoc-27in-fhd-ips-165hz-adaptive-sync-gaming-monitor-27g2sp-65450,
"Loctek 17""-30"" Dual Ergonomic Gas Spring Monitor Stand - Black - VESA 75 & 100mm - Max Load 9kg - Dual USB 3.0 port without connect cable",99.0,LOCTEK,In Stock,https://www.umart.com.au/product/loctek-17-30-dual-ergonomic-gas-spring-monitor-stand-black-vesa-75-100mm-max-load-9kg-dual-usb-3-0-port-without-connect-cable-71160,Save $30.0
Brateck 17-27 inch Triple Monitor Pole Mounted Gas Spring Monitor Arm,148.0,Brateck,In Stock,https://www.umart.com.au/product/brateck-17-27-inch-triple-monitor-pole-mounted-gas-spring-monitor-arm-59477,
Phillips 23.8in FHD 100Hz IPS Monitor (241V8B),112.0,Philips,In Stock,https://www.umart.com.au/product/phillips-23-8in-fhd-100hz-ips-monitor-241v8b-71885,Save $3.0
Brateck 17-32 inch Dual Monitor Aluminum Gas Spring Monitor Arm,129.0,Brateck,In Stock,https://www.umart.com.au/product/brateck-17-32-inch-dual-monitor-aluminum-gas-spring-monitor-arm-59475,
"Philips 27"" 272V8A FHD 75Hz 1920x1080 IPS Monitor with Speakers Adaptive sync",179.0,Philips,In Stock,https://www.umart.com.au/product/philips-27-272v8a-fhd-75hz-1920x1080-ips-monitor-with-speakers-adaptive-sync-54068,Save $10.0
Brateck Designer Premium Single Monitor Spring-Assisted Monitor Arm with USB-A and USB-C Ports,73.0,Brateck,In Stock,https://www.umart.com.au/product/brateck-designer-premium-single-monitor-spring-assisted-monitor-arm-with-usb-a-and-usb-c-ports-74159,
Lenovo C24-20 23.8in FHD VA 75Hz FreeSync Monitor (62A8KAR1AU),119.0,Lenovo,In Stock,https://www.umart.com.au/product/lenovo-c24-20-23-8in-fhd-va-75hz-freesync-monitor-62a8kar1au-69075,
Brateck 17in-27in Triple Monitors Pole-Mounted Epic Gas Spring Aluminum Monitor Arm with USB Gloss Grey,169.0,Brateck,In Stock,https://www.umart.com.au/product/brateck-17in-27in-triple-monitors-pole-mounted-epic-gas-spring-aluminum-monitor-arm-with-usb-gloss-grey-62347,Save $10.0
Brateck Single Monitor Pole Mounted Thin Gas Spring Monitor Arm for 17in-32in Monitors - Matte Grey,89.0,Brateck,In Stock,https://www.umart.com.au/product/brateck-single-monitor-pole-mounted-thin-gas-spring-monitor-arm-for-17in-32in-monitors-matte-grey-70090,Save $20.0
MSI Pro 15.6in FHD IPS 60Hz Adaptive-Sync Portable Monitor (PRO MP161),279.0,MSI,In Stock,https://www.umart.com.au/product/msi-pro-15-6in-fhd-ips-60hz-adaptive-sync-portable-monitor-pro-mp161-74872,
AOC 34in WQHD VA 144Hz FreeSync Curved Gaming Monitor (CU34G2X),479.0,AOC,In Stock,https://www.umart.com.au/product/aoc-34in-wqhd-va-144hz-freesync-curved-gaming-monitor-cu34g2x-54626,
Brateck LDT75-C024UCS Designer Premium Dual Monitor Spring-Assisted Monitor Arm with USB Ports - White,115.0,Brateck,In Stock,https://www.umart.com.au/product/brateck-ldt75-c024ucs-designer-premium-dual-monitor-spring-assisted-monitor-arm-with-usb-ports-white-74544,
Brateck Modern Linear Tabletop TV Stand For 49in-70in TVs -- Matte Black & Walnut,79.0,Brateck,In Stock,https://www.umart.com.au/product/brateck-modern-linear-tabletop-tv-stand-for-49in-70in-tvs-matte-black-walnut-71143,Save $60.0
LG 23.8in FHD IPS Monitor with USB Type-C™ (24BR650B-C),248.0,LG,In Stock,https://www.umart.com.au/product/lg-23-8in-fhd-ips-monitor-with-usb-type-c-24br650b-c-73355,Save $11.0
Dell 27in FHD IPS 60Hz Monitor (P2722H),329.0,Dell,In Stock,https://www.umart.com.au/product/dell-27in-fhd-ips-60hz-monitor-p2722h-59690,
AOC 23.8in FHD IPS 75Hz Monitor (24B2XDA),125.0,AOC,In Stock,https://www.umart.com.au/product/aoc-23-8in-fhd-ips-75hz-monitor-24b2xda-59887,Save $4.0
LG 27in FHD IPS Monitor (27MQ400-B),159.0,LG,In Stock,https://www.umart.com.au/product/lg-27in-fhd-ips-monitor-27mq400-b-71272,
Philips 15.6in FHD IPS 75Hz Portable Business Monitor (16B1P3300),249.0,Philips,In Stock,https://www.umart.com.au/product/philips-15-6in-fhd-ips-75hz-portable-business-monitor-16b1p3300-65490,Save $50.0
Dell 23.8in FHD IPS 60Hz Monitor (P2422H),229.0,Dell,In Stock,https://www.umart.com.au/product/dell-23-8in-fhd-ips-60hz-monitor-p2422h-59870,Save $30.0
