title,price,brand,availability,product_url,price_off
Creative Sound Blaster Play! 3 USB DAC Amp and Sound Card,32.0,Creative,In Stock,https://www.umart.com.au/product/creative-sound-blaster-play-3-usb-dac-amp-and-sound-card-40207,
Orico Multifunction USB Sound Card,17.0,ORICO,In Stock,https://www.umart.com.au/product/orico-multifunction-usb-sound-card-55988,
Creative Sound Blaster X4 Hi-res 7.1 External USB DAC and AMP Sound Card,205.0,Creative,In Stock,https://www.umart.com.au/product/creative-sound-blaster-x4-hi-res-7-1-external-usb-dac-and-amp-sound-card-65027,
USB to 7.1 Sound Card w/Mic,6.0,Generic,In Stock,https://www.umart.com.au/product/usb-to-7-1-sound-card-w-mic-5879,
Logitech Bluetooth Audio Adapter,49.0,Logitech,In Stock,https://www.umart.com.au/product/logitech-bluetooth-audio-adapter-27875,
Creative Sound BlasterX AE-5 Plus Hi-Res PCIe Gaming Sound Card,199.0,Creative,In Stock,https://www.umart.com.au/product/creative-sound-blasterx-ae-5-plus-hi-res-pcie-gaming-sound-card-55909,
"Creative Sound Blaster Audigy FX 5.1 PCIe Sound Card with SBX Pro Studio, with low profile bracket,",59.0,Creative,In Stock,https://www.umart.com.au/product/creative-sound-blaster-audigy-fx-5-1-pcie-sound-card-with-sbx-pro-studio-with-low-profile-bracket-26428,
Creative Sound Blaster G3 Portable USB Type C DAC AMP,75.0,Creative,In Stock,https://www.umart.com.au/product/creative-sound-blaster-g3-portable-usb-type-c-dac-amp-56024,10% Off!
Creative Sound BlasterX AE-7 Hi-Res PCIe DAC and AMP Sound Card,328.5,Creative,In Stock,https://www.umart.com.au/product/creative-sound-blasterx-ae-7-hi-res-pcie-dac-and-amp-sound-card-61645,
Creative Sound Blaster FX2 Audigy Fx2 Soundcard Black,83.0,Creative,In Stock,https://www.umart.com.au/product/creative-sound-blaster-fx2-audigy-fx2-soundcard-black-64917,
Simplecom CA152 USB to 3.5mm Audio and Microphone Sound Card Adapter TRS or TRRS Headsets,14.3,Simplecom,In Stock,https://www.umart.com.au/product/simplecom-ca152-usb-to-3-5mm-audio-and-microphone-sound-card-adapter-trs-or-trrs-headsets-73948,
EVGA XR1 lite Capture Card,$127 .20,EVGA,In Stock,https://www.jw.com.au/product/evga-xr1-lite-capture-card,$159.00
Asus Xonar SE 5.1 PCIe Gaming Sound Card,$58 .41,Asus,In Stock,https://www.jw.com.au/product/asus-xonar-se-5-1-pcie-gaming-sound-card,$69.00
Avermedia LGP 2 Plus External Capture Card,$238 .37,Avermedia,In Stock,https://www.jw.com.au/product/avermedia-lgp-2-plus-external-capture-card,$270.87
Creative Sound Blaster Play! 3 USB DAC Amp and External Sound Card,$39 .00,Creative,In Stock,https://www.jw.com.au/product/creative-sound-blaster-play-3-usb-dac-amp-and-external-sound-card,
StarTech 7.1 USB Audio Adapter External Sound Card,$69 .87,StarTech,In Stock,https://www.jw.com.au/product/startech-7-1-usb-audio-adapter-external-sound-card,
Creative Sound Blaster Audigy FX 5.1 PCIe With SBX Pro Sound Card,$59 .00,Creative,In Stock,https://www.jw.com.au/product/creative-sound-blaster-audigy-fx-5-1-pcie-with-sbx-pro-sound-card,
Simplecom HDMI to USB 2.0 Video Capture Card,$25 .00,Simplecom,In Stock,https://www.jw.com.au/product/simplecom-hdmi-to-usb-2-0-video-capture-card,
Avermedia EzRecorder 330 External Capture Card,$229 .63,Avermedia,In Stock,https://www.jw.com.au/product/avermedia-ezrecorder-330-external-capture-card,$292.87
Creative Sound Blaster X G1 Portable Soundcard with Headphone Amplifier,$59 .00,Creative,In Stock,https://www.jw.com.au/product/creative-sound-blaster-x-g1-portable-soundcard-with-headphone-amplifier,
Creative Sound BlasterX G6 Gaming Sound Card,$209 .00,Creative,In Stock,https://www.jw.com.au/product/creative-sound-blasterx-g6-gaming-sound-card,
Elgato Game Capture HD60 X External Capture Card,$269 .00,Elgato,Pre-order,https://www.jw.com.au/product/elgato-game-capture-hd60-x-external-capture-card,
"Elgato Video Capture For Mac, PC or iPad",$149 .00,Elgato,Pre-order,https://www.jw.com.au/product/elgato-video-capture-for-mac-pc-or-ipad,
PCI Express 4-Port USB 3.0 Card With NEC/ReneSAS PD720201 Chipset,$36 .87,PCI,In Stock,https://www.jw.com.au/product/pci-express-4-port-usb-3-0-card-with-nec-renesas-pd720201-chipset,
ASUS Xonar AE PCIe 7.1 sound card,$99 .00,ASUS,In Stock,https://www.jw.com.au/product/asus-xonar-ae-pcie-7-1-sound-card,
Aten CamLive (HDMI to USB-C Video Capture),$167 .83,Aten,In Stock,https://www.jw.com.au/product/aten-camlive-hdmi-to-usb-c-video-capture,
Aten CamLive+ HDMI to USB-C Video Capture Card,$239 .00,Aten,In Stock,https://www.jw.com.au/product/aten-camlive-hdmi-to-usb-c-video-capture-card,
Aten StreamLIVE HD Multi-Channel AV Mixer,"$1,099 .00",Aten,In Stock,https://www.jw.com.au/product/aten-streamlive-hd-multi-channel-av-mixer,
Aten UC3022 Cam Live Pro HDMI to USB-C UVC Video Capture,$479 .00,Aten,In Stock,https://www.jw.com.au/product/aten-uc3022-cam-live-pro-hdmi-to-usb-c-uvc-video-capture,
Avermedia Live Gamer 4K Internal Capture Card,$325 .66,Avermedia,In Stock,https://www.jw.com.au/product/avermedia-live-gamer-4k-internal-capture-card,$339.00
Avermedia Live Gamer Duo 60FPS Dual HDMI Video Capture Card,$325 .66,Avermedia,In Stock,https://www.jw.com.au/product/avermedia-live-gamer-duo-60fps-dual-hdmi-video-capture-card,$384.87
Avermedia Live Gamer HD 2 Internal Capture Card,$241 .87,Avermedia,In Stock,https://www.jw.com.au/product/avermedia-live-gamer-hd-2-internal-capture-card,
Cougar Envision 4K Video Capture Device,$199 .00,Cougar,In Stock,https://www.jw.com.au/product/cougar-envision-4k-video-capture-device,
Creative Sound Blaster X G3 USB-C Portable DAC,$89 .00,Creative,In Stock,https://www.jw.com.au/product/creative-sound-blaster-x-g3-usb-c-portable-dac,
Creative Sound Blaster X4 Hi-res 7.1 External USB DAC and Amp Sound Card,$208 .95,Creative,In Stock,https://www.jw.com.au/product/creative-sound-blaster-x4-hi-res-7-1-external-usb-dac-and-amp-sound-card,$219.95
Creative Sound Blaster Z SE High-Performance PCI-e Sound Card And DAC,$149 .00,Creative,In Stock,https://www.jw.com.au/product/creative-sound-blaster-z-se-high-performance-pci-e-sound-card-and-dac,
Creative Sound BlasterX AE-5+ Hi-Res PCIe Gaming Sound Card,$219 .00,Creative,In Stock,https://www.jw.com.au/product/creative-sound-blasterx-ae-5-hi-res-pcie-gaming-sound-card-1,
Creative Sound BlasterX AE-7 7.1 PCI-E Sound Card,$328 .83,Creative,In Stock,https://www.jw.com.au/product/creative-sound-blasterx-ae-7-7-1-pci-e-sound-card,
Creative SoundBlaster AudigyRx Soundcard,$99 .00,Creative,In Stock,https://www.jw.com.au/product/creative-soundblaster-audigyrx-soundcard,
Elgato Cam Link 4K,$199 .00,Elgato,In Stock,https://www.jw.com.au/product/elgato-cam-link-4k,
Elgato Game Capture 4K60 Pro MK.2 HDR10 Capture Card,$379 .00,Elgato,In Stock,https://www.jw.com.au/product/elgato-game-capture-4k60-pro-mk-2-hdr10-capture-card,
EVGA XR1 1440p/4K HDR Pro Capture Card,$199 .00,EVGA,In Stock,https://www.jw.com.au/product/evga-xr1-1440p-4k-hdr-pro-capture-card,
Logitech Bluetooth Audio Receiver,$59 .00,Logitech,Pre-order,https://www.jw.com.au/product/logitech-bluetooth-audio-receiver,
Orico USB External Sound Card,$25 .00,Orico,In Stock,https://www.jw.com.au/product/orico-usb-external-sound-card,
StarTech HD PCIe capture card - HDMI VGA DVI component - 1080P,$346 .82,StarTech,In Stock,https://www.jw.com.au/product/startech-hd-pcie-capture-card-hdmi-vga-dvi-component-1080p,
