title,price,brand,availability,product_url,price_off
AZZA 120mm Galeforce ARGB Fan,8.0,AZZA,In Stock,https://www.umart.com.au/product/azza-120mm-galeforce-argb-fan-67699,
Thermaltake Riing 12 High Static Pressure 120mm Green LED Fan,18.0,Thermaltake,In Stock,https://www.umart.com.au/product/thermaltake-riing-12-high-static-pressure-120mm-green-led-fan-33251,
AZZA Pro Fan 120mm ARGB PWM Case Fan,8.0,AZZA,In Stock,https://www.umart.com.au/product/azza-pro-fan-120mm-argb-pwm-case-fan-74078,
Deepcool Black FH-04 Fan Hub,6.0,Deepcool,In Stock,https://www.umart.com.au/product/deepcool-black-fh-04-fan-hub-65088,
be quiet! Silent Wings 4 120mm PWM High Speed Fan,30.0,Be Quiet,In Stock,https://www.umart.com.au/product/be-quiet-silent-wings-4-120mm-pwm-high-speed-fan-64517,
SilverStone Air Blazer 120mm ARGB Fan - Black,11.0,SilverStone,In Stock,https://www.umart.com.au/product/silverstone-air-blazer-120mm-argb-fan-black-53766,
Corsair ML140 PRO RGB 140mm Premium Magnetic Levitation RGB LED PWM Fan Single Pack,25.0,Corsair,In Stock,https://www.umart.com.au/product/corsair-ml140-pro-rgb-140mm-premium-magnetic-levitation-rgb-led-pwm-fan-single-pack-42894,35% Off!
Corsair iCUE QL120 RGB 120mm PWM Fan Black with Lighting Node Core - 3 Pack,139.0,Corsair,In Stock,https://www.umart.com.au/product/corsair-icue-ql120-rgb-120mm-pwm-fan-black-with-lighting-node-core-3-pack-54645,
"Corsair ML120 PRO LED, Red, 120mm Premium Magnetic Levitation Fan",25.0,Corsair,In Stock,https://www.umart.com.au/product/corsair-ml120-pro-led-red-120mm-premium-magnetic-levitation-fan-35821,13% Off!
Deepcool 120mm XFAN Hydro Bearing 1300RPM Case Fan,5.0,Deepcool,In Stock,https://www.umart.com.au/product/deepcool-120mm-xfan-hydro-bearing-1300rpm-case-fan-60941,
be quiet! Silent Wings 4 120mm Fan,29.0,Be Quiet,In Stock,https://www.umart.com.au/product/be-quiet-silent-wings-4-120mm-fan-64515,
Corsair 120mm iCUE SP120 RGB ELITE PWM Case Fan,23.0,Corsair,In Stock,https://www.umart.com.au/product/corsair-120mm-icue-sp120-rgb-elite-pwm-case-fan-62699,17% Off!
Cooler Master 140mm Halo Dual Loop ARGB Fan,23.0,Cooler Master,In Stock,https://www.umart.com.au/product/cooler-master-140mm-halo-dual-loop-argb-fan-59635,
Thermaltake Pure 14 140mm ARGB Sync Radiator Fan TT Premium Edition - 3 Pack,49.0,Thermaltake,In Stock,https://www.umart.com.au/product/thermaltake-pure-14-140mm-argb-sync-radiator-fan-tt-premium-edition-3-pack-54248,28% Off!
be quiet! Pure Wings 3 120mm PWM Case Fan,13.0,Be Quiet,In Stock,https://www.umart.com.au/product/be-quiet-pure-wings-3-120mm-pwm-case-fan-74423,
Thermaltake Riing 14 High Static Pressure 140mm White LED Fan,23.0,Thermaltake,In Stock,https://www.umart.com.au/product/thermaltake-riing-14-high-static-pressure-140mm-white-led-fan-33286,
"Corsair LL120 Dual Light Loop, Triple Pack 120mm RGB LED PWM Fan with Lighting Node Pro",129.0,Corsair,In Stock,https://www.umart.com.au/product/corsair-ll120-dual-light-loop-triple-pack-120mm-rgb-led-pwm-fan-with-lighting-node-pro-40584,Save $6.0
Thermaltake Riing 12 High Static Pressure 120mm Blue LED Fan,18.0,Thermaltake,In Stock,https://www.umart.com.au/product/thermaltake-riing-12-high-static-pressure-120mm-blue-led-fan-33366,
