title,price,brand,availability,product_url,price_off
Seagate 4TB IronWolf 3.5in 5400RPM SATA Hard Drive,159.0,Seagate,In Stock,https://www.umart.com.au/product/seagate-4tb-ironwolf-3-5in-5400rpm-sata-hard-drive-64819,Save $10.0
"Seagate Barracuda 4TB ST4000DM004 Desktop HDD 4TB, SATA3, 3.5in, 256MB",149.0,Seagate,In Stock,https://www.umart.com.au/product/seagate-barracuda-4tb-st4000dm004-desktop-hdd-4tb-sata3-3-5in-256mb-39357,Save $10.0
Seagate IronWolf 10TB 3.5in SATA 7200RPM Hard Drive (ST10000VN000),419.0,Seagate,In Stock,https://www.umart.com.au/product/seagate-ironwolf-10tb-3-5in-sata-7200rpm-hard-drive-st10000vn000-64977,
Seagate Ironwolf 8TB NAS 7200RPM 256mb,299.0,Seagate,In Stock,https://www.umart.com.au/product/seagate-ironwolf-8tb-nas-7200rpm-256mb-51482,
Seagate 4TB IronWolf Pro 3.5in SATA 7200RPM NAS Hard Drive - (ST4000NE001),219.0,Seagate,In Stock,https://www.umart.com.au/product/seagate-4tb-ironwolf-pro-3-5in-sata-7200rpm-nas-hard-drive-st4000ne001-51483,
Seagate Barracuda 8TB ST8000DM004 Desktop 3.5IN HDD,239.0,Seagate,In Stock,https://www.umart.com.au/product/seagate-barracuda-8tb-st8000dm004-desktop-3-5in-hdd-43278,
Seagate Barracuda 2TB 3.5in SATA3 256MB Cache Hard Drive ST2000DM008,89.0,Seagate,In Stock,https://www.umart.com.au/product/seagate-barracuda-2tb-3-5in-sata3-256mb-cache-hard-drive-st2000dm008-48625,
Seagate 6TB Ironwolf 3.5in SATA 3 5400RPM NAS Hard Drive (ST6000VN006),269.0,Seagate,In Stock,https://www.umart.com.au/product/seagate-6tb-ironwolf-3-5in-sata-3-5400rpm-nas-hard-drive-st6000vn006-69514,
Seagate 4TB SkyHawk ST4000VX016 3.5in SATA Hard Drive,168.0,Seagate,In Stock,https://www.umart.com.au/product/seagate-4tb-skyhawk-st4000vx016-3-5in-sata-hard-drive-70568,
Seagate 12TB Exos X18 512E 3.5in 7200RPM SATA Hard Drive,429.0,Seagate,In Stock,https://www.umart.com.au/product/seagate-12tb-exos-x18-512e-3-5in-7200rpm-sata-hard-drive-72415,Save $49.0
Western Digital 3TB Purple WD33PURZ 3.5in SATA Hard Drive,128.0,Western Digital,In Stock,https://www.umart.com.au/product/western-digital-3tb-purple-wd33purz-3-5in-sata-hard-drive-70564,
Seagate 12TB Ironwolf 3.5in SATA 7200RPM NAS Hard Drive - ST12000VN0008,419.0,Seagate,In Stock,https://www.umart.com.au/product/seagate-12tb-ironwolf-3-5in-sata-7200rpm-nas-hard-drive-st12000vn0008-51528,
Seagate IronWolf 18TB 3.5in SATA3 256MB Cache Hard Drive ST18000NT001,699.0,Seagate,In Stock,https://www.umart.com.au/product/seagate-ironwolf-18tb-3-5in-sata3-256mb-cache-hard-drive-st18000nt001-70548,
Western Digital 4TB Purple WD43PURZ 3.5in SATA Hard Drive,159.0,Western Digital,In Stock,https://www.umart.com.au/product/western-digital-4tb-purple-wd43purz-3-5in-sata-hard-drive-70565,
Seagate 10TB IronWolf Pro 3.5in SATA NAS 7200RPM Hard Drive (ST10000NT001),479.0,Seagate,In Stock,https://www.umart.com.au/product/seagate-10tb-ironwolf-pro-3-5in-sata-nas-7200rpm-hard-drive-st10000nt001-70062,
Seagate 16TB Exos X18 Enterprise 3.5in SATA 7200 RPM Hard Drive (ST16000NM000J),559.0,Seagate,In Stock,https://www.umart.com.au/product/seagate-16tb-exos-x18-enterprise-3-5in-sata-7200-rpm-hard-drive-st16000nm000j-65961,
Seagate IronWolf Pro Standard 512E 22TB NAS 7200RPM 6Gb/s 3.5In SATA Hard Drive (ST22000NT001),829.0,Seagate,In Stock,https://www.umart.com.au/product/seagate-ironwolf-pro-standard-512e-22tb-nas-7200rpm-6gb-s-3-5in-sata-hard-drive-st22000nt001-69973,Save $70.0
Western Digital 8TB Purple Pro 3.5 SATA 7200RPM Hard Drive (WD8001PURP),338.0,Western Digital,In Stock,https://www.umart.com.au/product/western-digital-8tb-purple-pro-3-5-sata-7200rpm-hard-drive-wd8001purp-60535,
Seagate IronWolf Pro 16TB 3.5in SATA3 256MB Cache Hard Drive ST16000NT001,585.0,Seagate,In Stock,https://www.umart.com.au/product/seagate-ironwolf-pro-16tb-3-5in-sata3-256mb-cache-hard-drive-st16000nt001-70546,
Western Digital 2TB Purple Surveillance 64MB Cache 3.5in SATA Internal Hard Drive,106.0,Western Digital,In Stock,https://www.umart.com.au/product/western-digital-2tb-purple-surveillance-64mb-cache-3-5in-sata-internal-hard-drive-74168,
Western Digital 12TB 3.5in SATA NAS Hard Drive (WD120EFBX),499.0,Western Digital,In Stock,https://www.umart.com.au/product/western-digital-12tb-3-5in-sata-nas-hard-drive-wd120efbx-61291,
Western Digital 10TB Pro 3.5in SATA Surveillance Hard Drive Purple (WD101PURP),429.0,Western Digital,In Stock,https://www.umart.com.au/product/western-digital-10tb-pro-3-5in-sata-surveillance-hard-drive-purple-wd101purp-59578,
Seagate 16TB SkyHawk AI 3.5in SATA 7200RPM Surveillance Hard Drive (ST16000VE002),569.0,Seagate,In Stock,https://www.umart.com.au/product/seagate-16tb-skyhawk-ai-3-5in-sata-7200rpm-surveillance-hard-drive-st16000ve002-60251,Save $29.0
Western Digital Purple WD64PURZ 3.5in SATA III 6TB Hard Drive,249.0,Western Digital,In Stock,https://www.umart.com.au/product/western-digital-purple-wd64purz-3-5in-sata-iii-6tb-hard-drive-70436,
Western Digital 4TB Red Plus 3.5in SATA 5400RPM NAS Hard Drive,169.0,Western Digital,In Stock,https://www.umart.com.au/product/western-digital-4tb-red-plus-3-5in-sata-5400rpm-nas-hard-drive-66279,
Seagate 18TB SkyHawk AI 512E 3.5in SATA 7200RPM Surveillance Hard Drive (ST18000VE002),689.0,Seagate,In Stock,https://www.umart.com.au/product/seagate-18tb-skyhawk-ai-512e-3-5in-sata-7200rpm-surveillance-hard-drive-st18000ve002-60735,
Western Digital 2TB 2.5in SATA 5400RPM Laptop Hard Drive,129.0,Western Digital,In Stock,https://www.umart.com.au/product/western-digital-2tb-2-5in-sata-5400rpm-laptop-hard-drive-52359,
Western Digital NAS WD102KFBX 10TB RED PRO 256MB 3.5IN SATA 6GB/S 7200RPM,499.0,Western Digital,In Stock,https://www.umart.com.au/product/western-digital-nas-wd102kfbx-10tb-red-pro-256mb-3-5in-sata-6gb-s-7200rpm-43845,
Western Digital WD4003FFBX 4TB Red Pro 256MB 3.5IN SATA 6GB/S 7200RPM,212.0,Western Digital,In Stock,https://www.umart.com.au/product/western-digital-wd4003ffbx-4tb-red-pro-256mb-3-5in-sata-6gb-s-7200rpm-45392,
Western Digital 6TB Red 3.5in SATA NAS Hard Drive (WD60EFPX),265.0,Western Digital,In Stock,https://www.umart.com.au/product/western-digital-6tb-red-3-5in-sata-nas-hard-drive-wd60efpx-68345,
Western Digital NAS WD6003FFBX 6TB RED PRO 256MB 3.5IN SATA 6GB/S 7200RPM,329.0,Western Digital,In Stock,https://www.umart.com.au/product/western-digital-nas-wd6003ffbx-6tb-red-pro-256mb-3-5in-sata-6gb-s-7200rpm-43336,
