Title,Price,Original Price,Sale Discount,Product URL,Image URL,Stone Type,Metal Type
Toi et Moi Pear-Shaped Amethyst & Iolite Earrings 10K White Gold,209.99,299.99,30.0,https://www.kay.com/toi-et-moi-pearshaped-amethyst-iolite-earrings-10k-white-gold/p/V-200576003,https://www.kay.com/productimages/processed/V-200576003_0_260.jpg?pristine=true,"Amethyst, Other",Gold
Amethyst & White Lab-Created Sapphire Stud Earrings Sterling Silver,69.99,99.99,30.0,https://www.kay.com/amethyst-white-labcreated-sapphire-stud-earrings-sterling-silver/p/V-376674507,https://www.kay.com/productimages/processed/V-376674507_0_260.jpg?pristine=true,Amethyst,Sterling+Silver
"Amethyst Heart Earrings With Diamond Accents Sterling Silver


Clearance",104.99,149.99,30.0,https://www.kay.com/amethyst-heart-earrings-diamond-accents-sterling-silver/p/V-375137104,https://www.kay.com/productimages/processed/V-375137104_0_260.jpg?pristine=true,Amethyst,Sterling+Silver
"Oval-Cut Amethyst & White Lab-Created Sapphire Scalloped Frame Gift Set Sterling Silver


Online Exclusive",139.99,199.99,30.0,https://www.kay.com/ovalcut-amethyst-white-labcreated-sapphire-scalloped-frame-gift-set-sterling-silver/p/V-376903009,https://www.kay.com/productimages/processed/V-376903009_0_260.jpg?pristine=true,Amethyst,Sterling+Silver
"Amethyst & Tanzanite Earrings Sterling Silver


Online Exclusive",279.99,399.99,30.0,https://www.kay.com/amethyst-tanzanite-earrings-sterling-silver/p/V-375852403,https://www.kay.com/productimages/processed/V-375852403_0_260.jpg?pristine=true,"Amethyst, Tanzanite",Sterling+Silver
"Disney Treasures Up Multi-Gemstone & Diamond Dangle Earrings 1/20 ct tw Sterling Silver


Online Exclusive",244.99,349.99,30.0,https://www.kay.com/disney-treasures-up-multigemstone-diamond-dangle-earrings-120-ct-tw-sterling-silver/p/V-376865604,https://www.kay.com/productimages/processed/V-376865604_0_260.jpg?pristine=true,"Amethyst, Other, Quartz, Garnet, Topaz, Citrine, Peridot",Sterling+Silver
Amethyst In-and-Out Hoop Earrings Sterling Silver,90.99,129.99,30.0,https://www.kay.com/amethyst-out-hoop-earrings-sterling-silver/p/V-376673707,https://www.kay.com/productimages/processed/V-376673707_0_260.jpg?pristine=true,Amethyst,Sterling+Silver
"Amethyst Heart Earrings Sterling Silver


Online Exclusive",55.99,79.99,30.0,https://www.kay.com/amethyst-heart-earrings-sterling-silver/p/V-374219905,https://www.kay.com/productimages/processed/V-374219905_0_260.jpg?pristine=true,Amethyst,Sterling+Silver
"Amethyst Solitaire Earrings 10K Yellow Gold


Online Exclusive",174.99,249.99,30.0,https://www.kay.com/amethyst-solitaire-earrings-10k-yellow-gold/p/V-376639302,https://www.kay.com/productimages/processed/V-376639302_0_260.jpg?pristine=true,Amethyst,Gold
"Amethyst Earrings Cushion-cut Sterling Silver


Online Exclusive",55.99,79.99,30.0,https://www.kay.com/amethyst-earrings-cushioncut-sterling-silver/p/V-374235909,https://www.kay.com/productimages/processed/V-374235909_0_260.jpg?pristine=true,Amethyst,Sterling+Silver
"Amethyst Stud Earrings Sterling Silver


Online Exclusive",104.99,149.99,30.0,https://www.kay.com/amethyst-stud-earrings-sterling-silver/p/V-376772606,https://www.kay.com/productimages/processed/V-376772606_0_260.jpg?pristine=true,Amethyst,Sterling+Silver
