Title,Price,Original Price,Sale Discount,Product URL,Image URL,Stone Type,Metal Type
"Black Agate ""Good Fortune"" Butterfly Drop Earrings in 18kt Gold Over Sterling



4 COLOR CHOICES",217.13,302.43,28.2,https://www.ross-simons.com/black-agate--quot-good-fortune-quot--butterfly-drop-earrings-in-18kt-gold-over-sterling-JSEO+946031+LVB+K6.html,"https://www.ross-simons.comhttps:///media.ross-simons.com/image/fetch/w_400,f_auto,q_auto/https://www.ross-simons.com/on/demandware.static/-/Sites-lbh-master/default/dwd29a00f6/images/jewelry-semi-precious-earrings/946031.jpg",Agate,Gold+Over+Silver
"Black Agate Hoop Earrings with 14kt Yellow Gold. 1 7/8""",417.19,581.59,28.3,https://www.ross-simons.com/black-agate-hoop-earrings-with-14kt-yellow-gold.-1-7%2F8-quot--JSEO+935964+HOP+4Y.html,"https://www.ross-simons.comhttps:///media.ross-simons.com/image/fetch/w_400,f_auto,q_auto/https://www.ross-simons.com/on/demandware.static/-/Sites-lbh-master/default/dwfbe04686/images/jewelry-semi-precious-earrings/935964.jpg",Agate,Gold
"Black Agate Hoop Earrings in 10kt Yellow Gold. 1 1/2""



2 GEMSTONE CHOICES",248.14,341.20,27.3,https://www.ross-simons.com/black-agate-hoop-earrings-in-10kt-yellow-gold.-1-1%2F2-quot--JSEO+979646+HOP+1Y.html,"https://www.ross-simons.comhttps:///media.ross-simons.com/image/fetch/w_400,f_auto,q_auto/https://www.ross-simons.com/on/demandware.static/-/Sites-lbh-master/default/dwc8a19c44/images/jewelry-semi-precious-earrings/979646.jpg",Agate,Gold
"White Agate Spiral Drop Earrings in 14kt Yellow Gold 



6 GEMSTONE CHOICES",378.03,504.04,25.0,https://www.ross-simons.com/white-agate-spiral-drop-earrings-in-14kt-yellow-gold--JSEO+970243+WIR+4Y.html,"https://www.ross-simons.comhttps:///media.ross-simons.com/image/fetch/w_400,f_auto,q_auto/e_vectorize:6:0.05:100:0:100/https://www.ross-simons.com/on/demandware.static/-/Sites-lbh-master/default/dw70d804db/images/jewelry-semi-precious-earrings/970243.jpg",Agate,Gold
Green Agate Openwork Drop Earrings in 18kt Gold Over Sterling,153.54,217.13,29.3,https://www.ross-simons.com/green-agate-openwork-drop-earrings-in-18kt-gold-over-sterling-JSEO+983677+WIR+K6.html,"https://www.ross-simons.comhttps:///media.ross-simons.com/image/fetch/w_400,f_auto,q_auto/e_vectorize:6:0.05:100:0:100/https://www.ross-simons.com/on/demandware.static/-/Sites-lbh-master/default/dwf0994bb0/images/jewelry-semi-precious-earrings/983677.jpg",Agate,Gold+Over+Silver
Mother-of-Pearl and Black Agate Yin-Yang Drop Earrings in 14kt Yellow Gold,417.19,581.59,28.3,https://www.ross-simons.com/mother-of-pearl-and-black-agate-yin-yang-drop-earrings-in-14kt-yellow-gold-JFEW+989991+WIR+4Y.html,"https://www.ross-simons.comhttps:///media.ross-simons.com/image/fetch/w_400,f_auto,q_auto/e_vectorize:6:0.05:100:0:100/https://www.ross-simons.com/on/demandware.static/-/Sites-lbh-master/default/dw7f4d8813/images/jewelry-pearl-earrings/989991.jpg","Pearls, Other+Stones, Agate, Shell",Gold
Black Agate Drop Earrings in 10kt Yellow Gold,217.11,302.43,28.2,https://www.ross-simons.com/black-agate-drop-earrings-in-10kt-yellow-gold--JSEO+979418+WIR+1Y.html,"https://www.ross-simons.comhttps:///media.ross-simons.com/image/fetch/w_400,f_auto,q_auto/https://www.ross-simons.com/on/demandware.static/-/Sites-lbh-master/default/dw826a7e30/images/jewelry-semi-precious-earrings/979418.jpg",Agate,Gold
Multi-Gemstone Linear Drop Earrings with .40 ct. t.w. White Zircon in 18kt Gold Over Sterling Silver,200.07,348.95,42.7,https://www.ross-simons.com/multi-gemstone-linear-drop-earrings-with-.40-ct.-t.w.-white-zircon-in-18kt-gold-over-sterling-silver-JSE7+973857+LVB+K6.html,"https://www.ross-simons.comhttps:///media.ross-simons.com/image/fetch/w_400,f_auto,q_auto/https://www.ross-simons.com/on/demandware.static/-/Sites-lbh-master/default/dw1c570585/images/jewelry-semi-precious-earrings/973857.jpg","Lapis, Mixed-Stone, Agate",
Italian Sterling Silver Open-Circle Drop Earrings with Black Agate Beads,75.99,147.34,48.4,https://www.ross-simons.com/italian-sterling-silver-open-circle-drop-earrings-with-black-agate-beads-JSEO+970587+DRP+SS.html,"https://www.ross-simons.comhttps:///media.ross-simons.com/image/fetch/w_400,f_auto,q_auto/https://www.ross-simons.com/on/demandware.static/-/Sites-lbh-master/default/dw6724f1f1/images/jewelry-semi-precious-earrings/970587.jpg",Agate,Sterling+Silver
C. 1880 Vintage Orange Agate Drop Earrings in 14kt Two-Tone Gold,"3,018.44","4,024.59",25.0,https://www.ross-simons.com/c.-1880-vintage-orange-agate-drop-earrings-in-14kt-two-tone-gold--JEEX+977561+CLP+4T.html,"https://www.ross-simons.comhttps:///media.ross-simons.com/image/fetch/w_400,f_auto,q_auto/https://www.ross-simons.com/on/demandware.static/-/Sites-lbh-master/default/dwc943c423/images/jewelry-estate-earrings/977561.jpg",Agate,Mixed+Metal
