Title,Price,Original Price,Sale Discount,Product URL,Image URL,Stone Type,Metal Type
1-1/3 CT. T.W. Princess-Cut Diamond Tulip Stud Earrings in 14K White Gold,624.75,"2,499.00",75.0,https://www.zales.com/113-ct-tw-princesscut-diamond-tulip-stud-earrings-14k-white-gold/p/V-19635200,https://www.zales.com/productimages/processed/V-19635200_0_260.jpg,Diamond,Gold
1 CT. T.W. Diamond Open Frame Stud Earrings in 10K White Gold,695.60,"1,739.00",60.0,https://www.zales.com/1-ct-tw-diamond-open-frame-stud-earrings-10k-white-gold/p/V-20021762,https://www.zales.com/productimages/processed/V-20021762_0_260.jpg?pristine=true,Diamond,Gold
2 CT. T.W. Certified Diamond Frame Stud Earrings in 14K White Gold (I/SI2),"5,003.60","12,509.00",60.0,https://www.zales.com/2-ct-tw-certified-diamond-frame-stud-earrings-14k-white-gold-isi2/p/V-20292723,https://www.zales.com/productimages/processed/V-20292723_0_260.jpg,Diamond,Gold
1-1/2 CT. T.W. Certified Diamond Frame Stud Earrings in 14K White Gold (I/SI2),"3,503.60","8,759.00",60.0,https://www.zales.com/112-ct-tw-certified-diamond-frame-stud-earrings-14k-white-gold-isi2/p/V-20293347,https://www.zales.com/productimages/processed/V-20293347_0_260.jpg,Diamond,Gold
1/2 CT. T.W. Journey Diamond Linear Drop Earrings in 10K White Gold,375.60,939.00,60.0,https://www.zales.com/12-ct-tw-journey-diamond-linear-drop-earrings-10k-white-gold/p/V-20349276,https://www.zales.com/productimages/processed/V-20349276_0_260.jpg?pristine=true,Diamond,Gold
Oro Diamante™ Diamond-Cut Lattice Circle Stud Earrings in 14K Two-Tone Gold,131.60,329.00,60.0,https://www.zales.com/oro-diamante-diamondcut-lattice-circle-stud-earrings-14k-twotone-gold/p/V-20510989,https://www.zales.com/productimages/processed/V-20510989_0_260.jpg?pristine=true,No+Stone,Gold
6.0mm Blue Sapphire Solitaire Rope-Textured Frame Stud Earrings in Sterling Silver and 10K Gold,159.60,399.00,60.0,https://www.zales.com/60mm-blue-sapphire-solitaire-ropetextured-frame-stud-earrings-sterling-silver-10k-gold/p/V-20372646,https://www.zales.com/productimages/processed/V-20372646_0_260.jpg?pristine=true,Sapphire,Sterling+Silver
Emerald Heart Outline Stud Earrings in Sterling Silver,159.60,399.00,60.0,https://www.zales.com/emerald-heart-outline-stud-earrings-sterling-silver/p/V-20352975,https://www.zales.com/productimages/processed/V-20352975_0_260.jpg?pristine=true,Emerald,Sterling+Silver
6.0mm Amethyst Solitaire Rope-Textured Frame Stud Earrings in Sterling Silver and 10K Gold,119.60,299.00,60.0,https://www.zales.com/60mm-amethyst-solitaire-ropetextured-frame-stud-earrings-sterling-silver-10k-gold/p/V-20370149,https://www.zales.com/productimages/processed/V-20370149_0_260.jpg?pristine=true,Amethyst,Sterling+Silver
6.0mm Swiss Blue Topaz Solitaire Rope-Textured Frame Stud Earrings in Sterling Silver and 10K Gold,119.60,299.00,60.0,https://www.zales.com/60mm-swiss-blue-topaz-solitaire-ropetextured-frame-stud-earrings-sterling-silver-10k-gold/p/V-20370161,https://www.zales.com/productimages/processed/V-20370161_0_260.jpg?pristine=true,Topaz,Sterling+Silver
6.0mm Garnet Solitaire Rope-Textured Frame Stud Earrings in Sterling Silver and 10K Gold,119.60,299.00,60.0,https://www.zales.com/60mm-garnet-solitaire-ropetextured-frame-stud-earrings-sterling-silver-10k-gold/p/V-20370148,https://www.zales.com/productimages/processed/V-20370148_0_260.jpg?pristine=true,Garnet,Sterling+Silver
6.0mm Peridot Solitaire Rope-Textured Frame Stud Earrings in Sterling Silver and 10K Gold,119.60,299.00,60.0,https://www.zales.com/60mm-peridot-solitaire-ropetextured-frame-stud-earrings-sterling-silver-10k-gold/p/V-20370159,https://www.zales.com/productimages/processed/V-20370159_0_260.jpg?pristine=true,Peridot,Sterling+Silver
6.0mm Citrine Solitaire Rope-Textured Frame Stud Earrings in Sterling Silver and 10K Gold,119.60,299.00,60.0,https://www.zales.com/60mm-citrine-solitaire-ropetextured-frame-stud-earrings-sterling-silver-10k-gold/p/V-20370160,https://www.zales.com/productimages/processed/V-20370160_0_260.jpg?pristine=true,Citrine,Sterling+Silver
Vera Wang Love Collection 3/4 CT. T.W. Pear-Shaped Diamond Drop Hoop Earrings in 10K White Gold,"1,419.50","2,839.00",50.0,https://www.zales.com/vera-wang-love-collection-34-ct-tw-pearshaped-diamond-drop-hoop-earrings-10k-white-gold/p/V-20527288,https://www.zales.com/productimages/processed/V-20527288_0_260.jpg?pristine=true,Diamond,Gold
Enchanted Disney Jasmine 1/10 CT. T.W. Diamond Flower Drop Earrings in Sterling Silver and 10K Rose Gold,269.50,539.00,50.0,https://www.zales.com/enchanted-disney-jasmine-110-ct-tw-diamond-flower-drop-earrings-sterling-silver-10k-rose-gold/p/V-20456846,https://www.zales.com/productimages/processed/V-20456846_0_260.jpg?pristine=true,Diamond,Sterling+Silver
Enchanted Disney Jasmine 1/6 CT. T.W. Diamond Star and Moon Stud Earrings in 10K Gold,349.50,699.00,50.0,https://www.zales.com/enchanted-disney-jasmine-16-ct-tw-diamond-star-moon-stud-earrings-10k-gold/p/V-20447489,https://www.zales.com/productimages/processed/V-20447489_0_260.jpg?pristine=true,Diamond,Gold
Enchanted Disney Ariel 1/8 CT. T.W. Diamond Seashell Drop Earrings in Sterling Silver and 10K Rose Gold,239.50,479.00,50.0,https://www.zales.com/enchanted-disney-ariel-18-ct-tw-diamond-seashell-drop-earrings-sterling-silver-10k-rose-gold/p/V-20456865,https://www.zales.com/productimages/processed/V-20456865_0_260.jpg?pristine=true,Diamond,Sterling+Silver
Previously Owned - 2 CT. T.W. Diamond Frame Stud Earrings in 14K White Gold (I/SI2),"6,254.50","12,509.00",50.0,https://www.zales.com/previously-owned-2-ct-tw-diamond-frame-stud-earrings-14k-white-gold-isi2/p/V-34142327,https://www.zales.com/productimages/processed/V-34142327_0_260.jpg?pristine=true,Diamond,Gold
1/5 CT. T.W. Baguette and Round Diamond Teardrop Earrings in 10K Gold,269.50,539.00,50.0,https://www.zales.com/15-ct-tw-baguette-round-diamond-teardrop-earrings-10k-gold/p/V-20134213,https://www.zales.com/productimages/processed/V-20134213_0_260.jpg,Diamond,Gold
1-1/5 CT. T.W. Diamond Solitaire Stud Earrings in 14K White Gold,"1,064.50","2,129.00",50.0,https://www.zales.com/115-ct-tw-diamond-solitaire-stud-earrings-14k-white-gold/p/V-20135874,https://www.zales.com/productimages/processed/V-20135874_0_260.jpg,Diamond,Gold
1/2 CT. T.W. Diamond Open Frame Stud Earrings in 10K White Gold,379.50,759.00,50.0,https://www.zales.com/12-ct-tw-diamond-open-frame-stud-earrings-10k-white-gold/p/V-18060301,https://www.zales.com/productimages/processed/V-18060301_0_260.jpg,Diamond,Gold
1/20 CT. T.W. Composite Diamond Flame Drop Earrings in Sterling Silver,69.50,139.00,50.0,https://www.zales.com/120-ct-tw-composite-diamond-flame-drop-earrings-sterling-silver/p/V-20144211,https://www.zales.com/productimages/processed/V-20144211_0_260.jpg,Diamond,Sterling+Silver
1/5 CT. T.W. Diamond Heart Stud Earrings in Sterling Silver,134.50,269.00,50.0,https://www.zales.com/15-ct-tw-diamond-heart-stud-earrings-sterling-silver/p/V-20339808,https://www.zales.com/productimages/processed/V-20339808_0_260.jpg?pristine=true,Diamond,Sterling+Silver
1/2 CT. T.W. Baguette and Round Diamond Alternating Hoop Earrings in 10K White Gold,669.50,"1,339.00",50.0,https://www.zales.com/12-ct-tw-baguette-round-diamond-alternating-hoop-earrings-10k-white-gold/p/V-20285551,https://www.zales.com/productimages/processed/V-20285551_0_260.jpg,Diamond,Gold
1/2 CT. T.W. Cushion-Shaped Multi-Diamond Stud Earrings in 10K White Gold,469.50,939.00,50.0,https://www.zales.com/12-ct-tw-cushionshaped-multidiamond-stud-earrings-10k-white-gold/p/V-20356420,https://www.zales.com/productimages/processed/V-20356420_0_260.jpg?pristine=true,Diamond,Gold
Marilyn Monroe™ Collection 1 CT. T.W. Pear-Shaped Multi-Diamond Frame Drop Earrings in 10K White Gold,"1,069.50","2,139.00",50.0,https://www.zales.com/marilyn-monroe-collection-1-ct-tw-pearshaped-multidiamond-frame-drop-earrings-10k-white-gold/p/V-20459479,https://www.zales.com/productimages/processed/V-20459479_0_260.jpg?pristine=true,Diamond,Gold
Wonder Woman™ Collection 1/8 CT. T.W. Diamond Symbol Stud Earrings in 10K Gold,264.50,529.00,50.0,https://www.zales.com/wonder-woman-collection-18-ct-tw-diamond-symbol-stud-earrings-10k-gold/p/V-20341621,https://www.zales.com/productimages/processed/V-20341621_0_260.jpg?pristine=true,Diamond,Gold
1/2 CT. T.W. Diamond High Profile Frame Stud Earrings in 10K White Gold,379.50,759.00,50.0,https://www.zales.com/12-ct-tw-diamond-high-profile-frame-stud-earrings-10k-white-gold/p/V-20021723,https://www.zales.com/productimages/processed/V-20021723_0_260.jpg?pristine=true,Diamond,Gold
1/2 CT. T.W. Multi-Diamond Flower Frame Stud Earrings in 10K Two-Tone Gold,469.50,939.00,50.0,https://www.zales.com/12-ct-tw-multidiamond-flower-frame-stud-earrings-10k-twotone-gold/p/V-20340059,https://www.zales.com/productimages/processed/V-20340059_0_260.jpg?pristine=true,Diamond,Gold
3/8 CT. T.W. Diamond Cushion-Shaped Frame Stud Earrings in 10K White Gold,334.50,669.00,50.0,https://www.zales.com/38-ct-tw-diamond-cushionshaped-frame-stud-earrings-10k-white-gold/p/V-20456725,https://www.zales.com/productimages/processed/V-20456725_0_260.jpg?pristine=true,Diamond,Gold
